skit00_01#0,"""俺様は、ウェポノイドの<br>「アヴェンジャー」。"""
11_voice_NPC_5427_201#0,"""どんな依頼も、報酬と引き換えに<br>完璧に遂行するのが俺様の信条だ。"""
11_voice_NPC_5427_104#0,"""今回の依頼は、物量が多くてな。<br>俺様と……そこにいる<br>脳みそピンク女だけじゃ手に余る。"""
skit01_02#0,"""そこでだ。礼はする……<br>あんたも俺様に協力してくれ。"""
11_voice_NPC_5427_102#0,"""まったく……<br>面倒な依頼を引き受けちまったぜ。"""
11_voice_NPC_5427_108#0,"""だが、依頼は必ず達成する。<br>この世で一番大切なもの……<br>「信用」を守るために、な。"""
skit03_02#0,"""だから、しっかりと頼んだぜ。<br>報酬はきちんと払うからよ。"""
11_voice_NPC_5427_202#0,"""なんで、こんな……<br>ブルージーレクイエムなんかと<br>組まされちまったんだ、俺様は。"""
skit04_02#0,"""いや、どんなチャランポランな奴でも<br>任務さえしてくれるなら構わねぇが……<br>どうしようもなく相性悪いっつーか。"""
11_voice_NPC_5427_103#0,"""任務中ずっとピンクなセリフを<br>聞かされ続ける俺様の身になってみろ。<br>気が散ってしょうがねぇよ……"""
11_voice_NPC_5427_203#0,"""これで、どうにか間に合いそうだ。<br>あんたにゃ、感謝の言葉もねぇよ。"""
skit06_02#0,"""とはいえ、まだギリギリってとこだ。<br>手伝ってくれるなら大歓迎だぜ。"""
