text01001#0,"""<%me>……<br>こんにちは。"""
text01002#0,"""この辺りで貴方に会うのは珍しいわね。<br>……考え事をしているうちに<br>いつの間にかここまで来ていたみたい。"""
11_voice_NPC_5378_207#0,"""私……自分の独断専行のせいで<br>大切な仲間を<br>危険な目に遭わせてしまったわ。"""
text01004#0,"""今も意識が戻らないあの子のために<br>何か、私にできることをしたくて……"""
11_voice_NPC_5378_204#0,"""<%me>。<br>よかったら、私のお願いを<br>聞いてくれるかしら？"""
11_voice_NPC_5378_200#0,"""私が、もっと強かったら<br>あんなことにはならなかった……"""
text02002#0,"""もし、次に何かあったとしても<br>誰一人危険にさらしたくない。"""
text02003#0,"""そのために……<br>私ができることをしておきたいの。"""
text03001#0,"""今回は、貴方に借りを作ったわね……"""
11_voice_NPC_5378_208#0,"""ふふ……チームの中で貸し借りなんて<br>考えない方がいいのかも知れないけれど<br>それでも、恩はいつか返すわ。"""
11_voice_NPC_5378_103#0,"""……ブルーノの企みの片棒を<br>担がされてしまったようね……"""
text01002#1,"""言ってることがおかしいと思ったら<br>流されずに問い詰めなさい。<br>甘やかさない方がいいわ……"""
11_voice_NPC_5378_204#1,"""今更気にしても仕方の無いことを<br>くよくよ思い悩んでしまう……<br>なんてこと、貴方は無いかしら？"""
text02002#1,"""あの時、自分がああしていれば、もっと<br>いい結果になったはずなのに、って。<br>私は……結構あるわ。"""
text02003#1,"""それでも……後悔ばかりしていては<br>仕方ないわ。過去を振り返るばかりでは<br>未来が見えなくなってしまうもの……"""
