GREET_RANGE#0,"""สวัสดี!"""
GREET_SHOP_OPEN#0,"""ยินดีต้อนรับค่า!"""
GREET_SHOP_DISABLE#0,"""ขอโทษทีน๊า!<br>วันนี้ร้านเราขายหมดแล้ว!"""
GREET_SHOP_CLOSE#0,"""ขอบคุณมาก!"""
HINT_EAST#0,"""ตอนนี่พี่สาวข้า<br>น่าจะอยู่ทางทิศตะวันออกนะ<br>ความรู้สึกของน้องสาวนะ"""
HINT_WEST#0,"""ตอนนี่พี่สาวข้า<br>น่าจะอยู่ทางทิศตะวันตกนะ<br>ความรู้สึกของน้องสาวนะ"""
HINT_SOUTH#0,"""ตอนนี่พี่สาวข้า<br>น่าจะอยู่ทางทิศใต้นะ<br>ความรู้สึกของน้องสาวนะ"""
HINT_NORTH#0,"""ตอนนี่พี่สาวข้า<br>น่าจะอยู่ทางทิศเหนือนะ<br>ความรู้สึกของน้องสาวนะ"""
GREET_RANGE#1,"""こんにちは～！"""
GREET_SHOP_OPEN#1,"""いらっしゃいませ～！"""
GREET_SHOP_DISABLE#1,"""ごめんなさい～！<br>今日はね、貸し切りなんです～！"""
GREET_SHOP_CLOSE#1,"""ありがとうございます～！"""
HINT_EAST#1,"""姉さんは今、東に<br>いそうな気がしますー。<br>妹のカンですー。"""
HINT_WEST#1,"""姉さんは今、西に<br>いそうな気がしますー。<br>妹のカンですー。"""
HINT_SOUTH#1,"""姉さんは今、南に<br>いそうな気がしますー。<br>妹のカンですー。"""
HINT_NORTH#1,"""姉さんは今、北に<br>いそうな気がしますー。<br>妹のカンですー。"""
00_01#0,"""ตัวเลือก 1"""
00_02#0,"""ตัวเลือก 2"""
TALK_ST#0,"""คุย"""
C_ORDER_ST#0,"""ฟัง"""
00_01#1,"""選択肢その１"""
00_02#1,"""選択肢その２"""
TALK_ST#1,"""会話する"""
C_ORDER_ST#1,"""相談を聞く"""
