st_054160_0010#0,"""哈莉艾特大人，全員配置完畢！"""
st_054160_0020#0,"""謝謝。"""
st_054160_0030#0,"""沒想到在守護輝士君不在<br>的時候發生了這種事情。<br>該說是時間不好呢還是……"""
st_054160_0040#0,"""擔心也是白費。<br>劍之巫女就是爲了此時存在的。"""
st_054160_0050#0,"""手在顫抖哦，劍之巫女。<br>虛張聲勢也是白費力氣。"""
st_054160_0060#0,"""......莫非到我這代。<br>可以的話，本是不想使用的力量。"""
st_054160_0070#0,"""但是，如果時候到了的話<br>這個身體，這個力量也只能獻於劍了。"""
st_054160_0080#0,"""守護輝士在的話<br>我們也會比較有信心......"""
st_054160_0090#0,"""守護輝士不在也沒辦法了。<br>......比起那個，來了！"""
st_054160_0100#0,"""啊......那個是，赤色邪龍？"""
st_054160_0105#0,"""比魔神城還要大......！"""
st_054160_0110#0,"""呀嘞呀嘞，毀滅世界的傳說<br>好像也像笨蛋一樣被召喚出來了。"""
st_054160_0120#0,"""燐光......！<br>吐息要來了，展開結界！"""
st_054160_0130#0,"""沒用的。"""
st_054160_0140#0,"""以劍之名。<br>擊倒，封印。<br>吾身正是爲此而存。"""
st_054160_0150#0,"""......馬上就結束了。<br>大家不要被卷進來了。"""
st_054160_0152#0,"""嗚！"""
st_054160_0154#0,"""嗚！"""
st_054160_0156#0,"""哈哈哈！"""
st_054160_0160#0,"""赤色邪龍，還有劍之巫女。<br>......兩邊都是不尋常的啊。"""
st_054160_0170#0,"""全員，維持結界。<br>雖然交給巫女對付了<br>但是絕對不能讓赤色邪龍跑掉。"""
st_054160_0180#0,"""怎麼了，哈莉艾特。"""
st_054160_0190#0,"""......該怎麼說呢。<br>看着那個邪龍的話，就忐忑不安。"""
st_054160_0200#0,"""忐忑不安麼。"""
