11_voice_NPC_5056_104#0,"""พวกกระจอกแต่อวดเก่งที่ชอบลองของ<br>ไปรับภารกิจโหดๆมาเนี่ย <br>เห็นหายหัวไปหลายรายแล้ว..."""
Npc56_01_020#0,"""เพราะ ฉะ นั้น !<br>ชั้นเลยตั้งใจว่าจะไม่ทำอะไรเกินตัวเหมือนพวก<br>กระจอกพวกนั้น ถึงได้ดูอยู่เฉยๆนี่ไง !"""
11_voice_NPC_5056_104#1,"""へっぽこぴーなくせに意地張って<br>無茶な任務や仕事に挑んで<br>居なくなるやつのなんと多いことか……"""
Npc56_01_020#1,"""だ・か・ら！<br>私はそういうへっぽこぴーが勘違い<br>しないように、ウォッチングしてるの！"""
11_voice_NPC_5056_104#2,"""พวกกระจอกแต่อวดเก่งที่ชอบลองของ<br>ไปรับภารกิจโหดๆมาเนี่ย <br>เห็นหายหัวไปหลายรายแล้ว..."""
Npc56_02_020#0,"""เพราะ ฉะ นั้น !<br>ชั้นเลยตั้งใจว่าจะไม่ทำอะไรเกินตัวเหมือนพวก<br>กระจอกพวกนั้น ถึงได้ดูอยู่เฉยๆนี่ไง !"""
11_voice_NPC_5056_104#3,"""へっぽこぴーなくせに意地張って<br>無茶な任務や仕事に挑んで<br>居なくなるやつのなんと多いことか……"""
Npc56_02_020#1,"""だ・か・ら！<br>私はそういうへっぽこぴーが勘違い<br>しないように、ウォッチングしてるの！"""
11_voice_NPC_5056_104#4,"""พวกกระจอกแต่อวดเก่งที่ชอบลองของ<br>ไปรับภารกิจโหดๆมาเนี่ย <br>เห็นหายหัวไปหลายรายแล้ว..."""
Npc56_03_020#0,"""เพราะ ฉะ นั้น !<br>ชั้นเลยตั้งใจว่าจะไม่ทำอะไรเกินตัวเหมือนพวก<br>กระจอกพวกนั้น ถึงได้ดูอยู่เฉยๆนี่ไง !"""
11_voice_NPC_5056_104#5,"""へっぽこぴーなくせに意地張って<br>無茶な任務や仕事に挑んで<br>居なくなるやつのなんと多いことか……"""
Npc56_03_020#1,"""だ・か・ら！<br>私はそういうへっぽこぴーが勘違い<br>しないように、ウォッチングしてるの！"""
11_voice_NPC_5056_104#6,"""พวกกระจอกแต่อวดเก่งที่ชอบลองของ<br>ไปรับภารกิจโหดๆมาเนี่ย <br>เห็นหายหัวไปหลายรายแล้ว..."""
Npc56_04_020#0,"""เพราะ ฉะ นั้น !<br>ชั้นเลยตั้งใจว่าจะไม่ทำอะไรเกินตัวเหมือนพวก<br>กระจอกพวกนั้น ถึงได้ดูอยู่เฉยๆนี่ไง !"""
11_voice_NPC_5056_104#7,"""へっぽこぴーなくせに意地張って<br>無茶な任務や仕事に挑んで<br>居なくなるやつのなんと多いことか……"""
Npc56_04_020#1,"""だ・か・ら！<br>私はそういうへっぽこぴーが勘違い<br>しないように、ウォッチングしてるの！"""
11_voice_NPC_5056_104#8,"""พวกกระจอกแต่อวดเก่งที่ชอบลองของ<br>ไปรับภารกิจโหดๆมาเนี่ย <br>เห็นหายหัวไปหลายรายแล้ว..."""
Npc56_05_020#0,"""เพราะ ฉะ นั้น !<br>ชั้นเลยตั้งใจว่าจะไม่ทำอะไรเกินตัวเหมือนพวก<br>กระจอกพวกนั้น ถึงได้ดูอยู่เฉยๆนี่ไง !"""
11_voice_NPC_5056_104#9,"""へっぽこぴーなくせに意地張って<br>無茶な任務や仕事に挑んで<br>居なくなるやつのなんと多いことか……"""
Npc56_05_020#1,"""だ・か・ら！<br>私はそういうへっぽこぴーが勘違い<br>しないように、ウォッチングしてるの！"""
11_voice_NPC_5056_104#10,"""พวกกระจอกแต่อวดเก่งที่ชอบลองของ<br>ไปรับภารกิจโหดๆมาเนี่ย <br>เห็นหายหัวไปหลายรายแล้ว..."""
Npc56_06_020#0,"""เพราะ ฉะ นั้น !<br>ชั้นเลยตั้งใจว่าจะไม่ทำอะไรเกินตัวเหมือนพวก<br>กระจอกพวกนั้น ถึงได้ดูอยู่เฉยๆนี่ไง !"""
11_voice_NPC_5056_104#11,"""へっぽこぴーなくせに意地張って<br>無茶な任務や仕事に挑んで<br>居なくなるやつのなんと多いことか……"""
Npc56_06_020#1,"""だ・か・ら！<br>私はそういうへっぽこぴーが勘違い<br>しないように、ウォッチングしてるの！"""
11_voice_NPC_5056_106#0,"""หืม...ดูท่าทางเธอจะไม่ใช่พวกกระจอกที่จะเลิกง่ายๆสินะ"""
Npc56_07_020#0,"""แต่ขอเตือนนะ ถ้าหากเหลิงจนลืมตัวเมื่อไหร่ เจ้าพวก <br>Darker อาจโผล่มาจากมุมอับสายตาก็ได้<br>เพราะงั้นห้ามลืมเชียวว่าอย่าประมาทเด็ดขาดเคปะ !"""
11_voice_NPC_5056_106#1,"""ふうん、アンタはそう簡単に<br>いなくなるようなへっぽこぴーじゃ<br>ないみたいね。"""
Npc56_07_020#1,"""でも、油断してるとあっという間に<br>お先真っ暗がアークスの宿命！<br>油断は禁物、忘れるんじゃないわよ！"""
11_voice_NPC_5056_106#2,"""หืม...ดูท่าทางเธอจะไม่ใช่พวกกระจอกที่จะเลิกง่ายๆสินะ"""
Npc56_08_020#0,"""แต่ขอเตือนนะ ถ้าหากเหลิงจนลืมตัวเมื่อไหร่ เจ้าพวก <br>Darker อาจโผล่มาจากมุมอับสายตาก็ได้<br>เพราะงั้นห้ามลืมเชียวว่าอย่าประมาทเด็ดขาดเคปะ !"""
11_voice_NPC_5056_106#3,"""ふうん、アンタはそう簡単に<br>いなくなるようなへっぽこぴーじゃ<br>ないみたいね。"""
Npc56_08_020#1,"""でも、油断してるとあっという間に<br>お先真っ暗がアークスの宿命！<br>油断は禁物、忘れるんじゃないわよ！"""
11_voice_NPC_5056_106#4,"""หืม...ดูท่าทางเธอจะไม่ใช่พวกกระจอกที่จะเลิกง่ายๆสินะ"""
Npc56_mb9_020#0,"""แต่ขอเตือนนะ ถ้าหากเหลิงจนลืมตัวเมื่อไหร่ เจ้าพวก <br>Darker อาจโผล่มาจากมุมอับสายตาก็ได้<br>เพราะงั้นห้ามลืมเชียวว่าอย่าประมาทเด็ดขาดเคปะ !"""
11_voice_NPC_5056_106#5,"""ふうん、アンタはそう簡単に<br>いなくなるようなへっぽこぴーじゃ<br>ないみたいね。"""
Npc56_mb9_020#1,"""でも、油断してるとあっという間に<br>お先真っ暗がアークスの宿命！<br>油断は禁物、忘れるんじゃないわよ！"""
11_voice_NPC_5056_106#6,"""หืม...ดูท่าทางเธอจะไม่ใช่พวกกระจอกที่จะเลิกง่ายๆสินะ"""
Npc56_mb10_020#0,"""แต่ขอเตือนนะ ถ้าหากเหลิงจนลืมตัวเมื่อไหร่ เจ้าพวก <br>Darker อาจโผล่มาจากมุมอับสายตาก็ได้<br>เพราะงั้นห้ามลืมเชียวว่าอย่าประมาทเด็ดขาดเคปะ !"""
11_voice_NPC_5056_106#7,"""ふうん、アンタはそう簡単に<br>いなくなるようなへっぽこぴーじゃ<br>ないみたいね。"""
Npc56_mb10_020#1,"""でも、油断してるとあっという間に<br>お先真っ暗がアークスの宿命！<br>油断は禁物、忘れるんじゃないわよ！"""
11_voice_NPC_5056_106#8,"""หืม...ดูท่าทางเธอจะไม่ใช่พวกกระจอกที่จะเลิกง่ายๆสินะ"""
Npc56_mb11_020#0,"""แต่ขอเตือนนะ ถ้าหากเหลิงจนลืมตัวเมื่อไหร่ เจ้าพวก <br>Darker อาจโผล่มาจากมุมอับสายตาก็ได้<br>เพราะงั้นห้ามลืมเชียวว่าอย่าประมาทเด็ดขาดเคปะ !"""
11_voice_NPC_5056_106#9,"""ふうん、アンタはそう簡単に<br>いなくなるようなへっぽこぴーじゃ<br>ないみたいね。"""
Npc56_mb11_020#1,"""でも、油断してるとあっという間に<br>お先真っ暗がアークスの宿命！<br>油断は禁物、忘れるんじゃないわよ！"""
11_voice_NPC_5056_106#10,"""หืม...ดูท่าทางเธอจะไม่ใช่พวกกระจอกที่จะเลิกง่ายๆสินะ"""
Npc56_mb12_020#0,"""แต่ขอเตือนนะ ถ้าหากเหลิงจนลืมตัวเมื่อไหร่ เจ้าพวก <br>Darker อาจโผล่มาจากมุมอับสายตาก็ได้<br>เพราะงั้นห้ามลืมเชียวว่าอย่าประมาทเด็ดขาดเคปะ !"""
11_voice_NPC_5056_106#11,"""ふうん、アンタはそう簡単に<br>いなくなるようなへっぽこぴーじゃ<br>ないみたいね。"""
Npc56_mb12_020#1,"""でも、油断してるとあっという間に<br>お先真っ暗がアークスの宿命！<br>油断は禁物、忘れるんじゃないわよ！"""
11_voice_NPC_5056_106#12,"""หืม...ดูท่าทางเธอจะไม่ใช่พวกกระจอกที่จะเลิกง่ายๆสินะ"""
Npc56_mb13_020#0,"""แต่ขอเตือนนะ ถ้าหากเหลิงจนลืมตัวเมื่อไหร่ เจ้าพวก <br>Darker อาจโผล่มาจากมุมอับสายตาก็ได้<br>เพราะงั้นห้ามลืมเชียวว่าอย่าประมาทเด็ดขาดเคปะ !"""
11_voice_NPC_5056_106#13,"""ふうん、アンタはそう簡単に<br>いなくなるようなへっぽこぴーじゃ<br>ないみたいね。"""
Npc56_mb13_020#1,"""でも、油断してるとあっという間に<br>お先真っ暗がアークスの宿命！<br>油断は禁物、忘れるんじゃないわよ！"""
11_voice_NPC_5056_106#14,"""หืม...ดูท่าทางเธอจะไม่ใช่พวกกระจอกที่จะเลิกง่ายๆสินะ"""
