Title#0,"""Skyscape Sample Recovery"""
Explanation#0,"""ท่านมีหน้าที่ในการนำแร่พิเศษที่พบใน Skyscape บน<br>Amduskia กลับมา<br>เรายังพบว่า Dragorii ที่ถูกครอบงำก็ต้องการมันเช่นกัน<br>ดังนั้นแร่พวกนี้ก็อาจจะเกี่ยวข้องกับ D-arkers ด้วย<br>จงไปยังพื้นที่ๆกำหนดแล้วนำแร่พิเศษกลับมา"""
Title#1,"""指定標本回収：浮遊大陸"""
Explanation#1,"""惑星アムドゥスキア、浮遊大陸にて<br>ときおり確認されている特殊鉱物を<br>回収してきて欲しい。<br>凶暴化した龍族が挙って集めるらしく<br>ダーカーとの関連性も疑われている。<br>反応が確認された地域へ向かい<br>特殊鉱物を直接回収、専用機までの<br>運搬を頼む。"""
SimpleExplanation#0,"""นำแร่พิเศษกลับมา!"""
SimpleExplanation#1,"""特殊鉱物を回収せよ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
