name_7656#0,"""塞格雷特|セグレット"""
ssn_013030_0001#0,"""初次見面……很高興見到你……"""
ssn_013030_0002#0,"""今後也請多擔待……"""
ssn_013030_0101#0,"""你知道……武器的“潛在能力”嗎……？"""
ssn_013030_0102#0,"""你如果不知道……要不要我告訴你一下呢……？"""
ssn_013030_0201#0,"""這樣啊……<br>你要是有興趣了……就再來找我吧……"""
ssn_013030_0301#0,"""各種不同的武器……<br>都具有著……隱藏的能力。"""
ssn_013030_0302#0,"""使用素材作為觸媒……對武器進行加工後……<br>就可以解放這力量……也就是潛在能力。"""
ssn_013030_0303#0,"""只是……解放這潛在能力……<br>需要用到……光子的“礦石”……"""
ssn_013030_0304#0,"""這次，就由我來準備好了……<br>請你拿著這些……去一趟道具實驗室吧。"""
ssn_013030_0401#0,"""解放了潛在能力後……你感覺如何？"""
ssn_013030_0402#0,"""獲得的武器……<br>與作為觸媒的“礦石”……"""
ssn_013030_0403#0,"""各種武器中……都隱藏著……<br>怎樣的能力呢……？"""
ssn_013030_0404#0,"""……還請你，<br>多多……嘗試一下吧。"""
