ra_012020_0010#0,"""เส้นทางที่เกิดขึ้นใหม่ทุกสายย่อมไปบรรจบ<br>กับทางสายหลัก แต่มีเพียงหนึ่งเดียวที่จะ<br>สร้างผลกระทบต่อเส้นทางสายหลักนั้น"""
ra_012020_0020#0,"""นั่นคือเหตุการณ์ที่ทับซ้อนกันซ้ำแล้วซ้ำเล่า<br>จนขมวดเข้าด้วยกัน กลายเป็นรูปเป็นร่างขึ้นมา"""
ra_012020_0030#0,"""แต่สิ่งนั้นจะเป็นตัวเรียกโศกนาฏกรรม<br>หรือนำไปสู่อิสระภาพ<br>ก็อยู่ที่ท่านจะตัดสินใจยังไง"""
ra_012020_0040#0,"""พวกชั้นรู้ทุกอย่าง <br>แต่ก็ทำให้ชั้นไม่สามารถ<br>พูดอะไรออกมาได้เช่นกัน"""
ra_012020_0050#0,"""เพราะสิ่งที่มาจากการล่วงรู้ก็เป็นได้เพียงสิ่งลวงตา <br>ความรู้จากประสบการณ์จริงต่างหาก <br>ที่สำคัญที่สุดในครั้งนี้"""
ra_012020_0060#0,"""ชั้นและพวกของชั้นจะใช้ความรู้ทั้งหมดเท่าที่มี<br>คอยชี้แนะแนวทางให้กับท่าน"""
ra_012020_0070#0,"""ทว่า ท่านจะเชื่อหรือไม่เชื่อ<br>จะทำตามหรือไม่ทำตามนั้น<br>ท่านสามารถตัดสินใจได้อย่างอิสระ"""
ra_012020_0080#0,"""ไม่ว่าท้ายที่สุดแล้วจุดจบจะเป็นเช่นไร<br>หากมันมาจากการตัดสินใจโดยประสบการณ์<br>ของท่าน ชั้นก็จะยอมรับมันแต่โดยดี"""
text01#0,"""ท่านได้รับ Matter Board [Settlement of Tears]"""
ra_012020_0090#0,"""A.P.238/4/16"""
ra_012020_0010#1,"""新たに生まれし流れは一つの支流。<br>しかし、それは本流にまで及ぶ<br>影響を抱く一つの事例である。"""
ra_012020_0020#1,"""幾重にも織り重なった事象が<br>形を作り、収束を見せる。"""
ra_012020_0030#1,"""そこにあるものを<br>悲劇と呼ぶか解放と呼ぶかは<br>貴方自身が決めることだろう。"""
ra_012020_0040#1,"""わたしたちは識っている。<br>それゆえに、わたしは<br>何も伝えることが出来ない。"""
ra_012020_0050#1,"""識るだけで形成されるものは幻想。<br>ことここにおいて必要なのは<br>経験による認識だ。"""
ra_012020_0060#1,"""わたしとわたしたちは導く。<br>出来る限りの由を以てして。"""
ra_012020_0070#1,"""だが、それに従うかどうか<br>それを信じるかどうかは<br>貴方が自由に決めること。"""
ra_012020_0080#1,"""いかなる形で結末を迎えようと<br>それを貴方が経験するのならば<br>わたしは、それで構わない。"""
text01#1,"""<br>マターボード『涙のセトルメント』を入手しました。<br>"""
ra_012020_0090#1,"""A.P.238/4/16"""
