Title#0,"""The Chocolate Way 2"""
Explanation#0,"""ฮ้าย ไม่ใช่ภารกิจจาก Arks หรอกน้า<br>แต่งานนี้ Shea คนสวยเป็นคนขอร้องเองจ้า<br>เห็นว่าพี่น้อง Naura ไปเปิดร้านเค้กอยู่<br>แถว Cauldron บนดาว Amduskia ด้วยแหละ !<br>พวกสาวๆเลยแห่กันไปซื้อของที่นั่นกันใหญ่เลย !<br>อ๊ะจริงสิ วันวาเลนไทน์นี่นา<br>หรือว่าสาวๆพวกนั้นจะนัดใครเอาไว้น้า ?<br>--------------------------------<br>เงื่อนไขที่ทำให้ภารกิจล้มเหลว / ใช้เวลาเกินกว่าที่กำหนด"""
Title#1,"""チョコレートの行方2"""
Explanation#1,"""はいはーい。この依頼もアークスではなく<br>わたしことシーからお伝えしまっす！<br>今年もナウラのケーキ屋が期間限定で<br>惑星アムドゥスキアの火山洞窟に<br>お店を開いているんだって！<br>そうそう、バレンタインって時期もあって<br>女の子たちも火山洞窟に行ってるみたい！<br>もしかしたら、誰かに会えるかも！？<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""สะสม Valentine Point !"""
SimpleExplanation#1,"""バレンタインPtをためろ!"""
a1#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a2#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
