msc_023110_0010#0,"""<%me>（おまえ）か。"""
msc_023110_0020#0,"""今日は、アイナはいないようだな？"""
msc_023110_0030#0,"""アイナが、どうしたの？"""
msc_023110_0040#0,"""アイナが、来てた？"""
msc_023110_0050#0,"""このところ、毎日のように来ていてな。"""
msc_023110_0060#0,"""ああ。<br>このところ、毎日のようにな。"""
msc_023110_0070#0,"""「リーダーの秘訣を教えてほしい」……と。"""
msc_023110_0080#0,"""突然やってきて、<br>そんなことを言いだすものだから、驚いたぞ。"""
msc_023110_0090#0,"""しかし……、リーダーの秘訣と言われてもな。"""
msc_023110_0100#0,"""長としての心得のほとんどは、<br>ハーディに教えられたものだ。"""
msc_023110_0110#0,"""そこで、あの者を呼ぶと、<br>怒涛のように質問を浴びせていた。"""
msc_023110_0120#0,"""ハーディも、生来の教えたがりだから、<br>熱心なアイナに気をよくしたようでな。"""
msc_023110_0130#0,"""ふたりで、ずいぶんと長いこと、<br>語りあっていた。"""
msc_023110_0140#0,"""どこかに出かけて、地形を活かした兵法などを、<br>学んだりもしていたようだ。"""
msc_023110_0150#0,"""アイナのああいう熱心なところは、<br>好ましく思う。"""
msc_023110_0160#0,"""そんなことがあったんだ。"""
msc_023110_0170#0,"""頑張ってるな。"""
msc_023110_0180#0,"""その口ぶりだと、<br>なにも聞いていないようだな。"""
msc_023110_0190#0,"""ああ。<br>だが、少し焦っているようでもあったな。"""
msc_023110_0200#0,"""ここだけでなく、<br>方々で意見を求めていたようだ。"""
msc_023110_0210#0,"""エアリオの面々だけでなく、<br>タイヴァスやグレンのところにも行ったと。"""
msc_023110_0220#0,"""グレンが、己の論を、<br>軽々に他人に語るとも思えぬのだが……。"""
msc_023110_0230#0,"""意外なことに、<br>丁寧に教えてくれたそうだ。"""
msc_023110_0240#0,"""あれで存外、<br>面倒見がよいのかもしれないな。"""
msc_023110_0250#0,"""あるいは、<br>アイナの人となりが、そうさせるのか。"""
msc_023110_0260#0,"""……それで、<br>アイナはリーダーを目指しているのか？"""
msc_023110_0270#0,"""今はまだ訓練生の教官。"""
msc_023110_0280#0,"""アイナ次第。"""
msc_023110_0290#0,"""“まだ”ということは、<br>お前もいずれは、と思っているのかな？"""
msc_023110_0300#0,"""フフフ……。<br>それはそうだ。"""
msc_023110_0310#0,"""彼女のさらなる成長、<br>私も楽しみにしている。"""
