un_045040_0001#0,"""A.P.20xx/x/x"""
un_045040_0010#0,"""……所以我都說了嘛，在創立新職業的時候<br>要先獲得其他職業提倡者的許可才行－－！"""
un_045040_0020#0,"""像這種光是靠著可愛來招攬讓人<br>還威脅到了我們凌客立場的職業……<br>就算ARKS那邊承認，本小姐也是不會允許的！"""
un_045040_0030#0,"""就算你這麼說我也很難辦啊。<br>召喚師已經是獲得ARKS認可的職業了。<br>也不是現在說取消就能取消的啊？"""
un_045040_0040#0,"""而且更重要的是，這孩子也離不開我！<br>你說是不是呀！凱瑟琳！"""
un_045040_0050#0,"""啊哈哈，好痛好痛，好痛啦凱瑟琳！"""
un_045040_0060#0,"""唔……好、好可愛……"""
un_045040_0070#0,"""哈！不行，不可以這樣香取！<br>要是在這裡折服，可就辜負凌客之名了！"""
un_045040_0080#0,"""……哦，是你啊。<br>沒事，不是什麼大不了的問題。"""
un_045040_0090#0,"""只是香取她擅作主張<br>來找這召喚師的提倡者，發發牢騷罷了。"""
un_045040_0100#0,"""是叫“召喚師”來著吧？<br>我覺得這職業，還算是個挺有意思的嘗試。<br>要是換我，肯定想不到這種操縱召喚獸作戰的想法。"""
un_045040_0110#0,"""而且，設立這職業的時機也正是時候。<br>它要是在香取被選為凌客的試驗運用對象<br>之前設立的，那可就頭疼了。"""
un_045040_0120#0,"""就算到了今天，香取依然是個愛偷懶的性子。<br>她肯定會心想著，不用自己戰鬥就等同於能偷懶<br>然後一心撲到召喚師上了。"""
un_045040_0130#0,"""而現在呢，她對凌客已經很熟悉了<br>所以也難以捨棄這方面的適應性了。"""
un_045040_0140#0,"""然而，她卻又覺得召喚師好像更輕鬆點<br>羨慕得不行，所以就來發發牢騷。<br>……情況大概就是這樣吧。"""
un_045040_0150#0,"""我說，佐賀先生你就沒什麼要說的嗎！<br>你這特訓笨蛋倒是快提點要求啊！<br>這可關乎凌客的尊嚴欸！"""
un_045040_0160#0,"""你看你看，這召喚師明擺著就是個<br>讓人划水摸魚的職業嘛<br>也太耍賴了吧！"""
un_045040_0170#0,"""別把你單方面挑釁的話亂宣揚。"""
un_045040_0180#0,"""啊，<%me>大人！<br><%me>大人您也<br>乾脆嚴厲地說幾句嘛！"""
un_045040_0190#0,"""哦，這不是my friend嘛！<br>你快來看看！凱瑟琳今天也超有精神的！<br>你的孩子們怎麼樣？還精不精神啊？"""
un_045040_0200#0,"""麥、麥福連多……？！<br>難不成，<%me>大人<br>也已經拜倒在召喚師的毒牙之下了嗎……！？"""
un_045040_0210#0,"""<%me>大人！<br>您明明都有我了，卻居然拋棄了凌客<br>而是屈服於了召喚師……這到底是怎麼一回事！"""
un_045040_0220#0,"""要是您給不出讓人滿意的回答<br>我也是有可能會考慮去當召喚師的哦！<br>你說是不是啊，佐賀先生！"""
un_045040_0230#0,"""駁回。<br>好了香取，到特訓的時間了。"""
un_045040_0240#0,"""欸，別別，等等啊我話都沒說完呢……<br>也給我點選擇職業的自由啊！自由！"""
un_045040_0250#0,"""這是作為凌客職業代表著的義務。<br>要想主張權利，就先給我把義務完成了。"""
un_045040_0260#0,"""特訓是義務也太莫名其妙了吧！"""
un_045040_0270#0,"""哈哈哈，剛才那人也真是熱鬧呢，凱瑟琳！<br>雖說給的意見倒挺嚴厲……不過就放心吧！<br>我是絕對不會拋棄你的！"""
un_045040_0280#0,"""知道啦知道啦凱瑟琳！<br>我知道你很開心了，能不能別這麼<br>固執地打我小腿了啊！好疼，疼疼疼！"""
