un_020610_0010#0,"""......啊，你好。<br>你也來到這沃帕爾了啊。"""
un_020610_0020#0,"""......穩定的氣候，清涼的大海。<br>是顆很棒的行星呢。"""
un_020610_0030#0,"""......沒有任務的時候<br>真想在這裡悠閒度日呢。"""
un_020610_0040#0,"""......當然，我也明白<br>目前還辦不到。這裡有兇殘的敵人，<br>調查方面也還沒進展。"""
un_020610_0050#0,"""......不過，總會有那麼一天<br>大家可以悠閒的走在這條海岸，<br>希望如此。"""
un_020610_0060#0,"""......那麼，再見了。"""
un_020610_0010#1,"""……あ、こんにちは。<br>貴方も来たのね、ここウォパルに。"""
un_020610_0020#1,"""……穏やかな気候に、涼しげな海。<br>いい惑星よね、ここ。"""
un_020610_0030#1,"""……任務がないときなんかに<br>のんびり過ごせたら、って思う。"""
un_020610_0040#1,"""……もちろん、今は無理って<br>わかってる。凶暴なエネミーもいるし<br>調査もまだ進んでないから。"""
un_020610_0050#1,"""……でもいずれ、みんながゆっくり<br>こういう海岸を歩いたりできる日が<br>来るといいなって、思う。"""
un_020610_0060#1,"""……それじゃ。"""
