text01001#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text01002#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text01003#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text01004#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text01001#1,"""当カジノは、環境改善チームが創設した<br>アークスのための娯楽施設です。"""
text01002#1,"""過酷な環境での任務が強いられる<br>アークスの皆さんの、ストレス発散を<br>目的に作られたとのことです。"""
text01003#1,"""私達としましても、アークスの皆さんが<br>時間を忘れて楽しんでいただけるように<br>尽力していく所存です。"""
text01004#1,"""皆さんにとって、理想の空間を<br>提供できればと考えております<br>ごゆっくり、お楽しみください。"""
text02001#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text02002#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text02003#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text02004#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text02001#1,"""ここ、カジノエリアは<br>作られたばかりのはずなのですが……"""
text02002#1,"""なぜか、いたるところにリリーパ族の<br>落書きが散見されるのです。"""
text02003#1,"""彼らに悪気はないようなので<br>落書きもそのままにしていますが<br>とても不思議です。"""
text02004#1,"""落書きはあちこちにあるようです<br>気になるようでしたら、一度<br>探してみてはいかがでしょうか？"""
text03001#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text03002#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text03003#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text03001#1,"""カジノの交換景品は<br>定期的に更新されます。"""
text03002#1,"""ここでしか手に入らない<br>貴重なものが用意されることも<br>多々あります。"""
text03003#1,"""よろしければ<br>定期的にカジノ景品交換所を<br>確認してみてください。"""
