name_7211#0,"""Xiandy"""
ssn_019040_002_0001#0,"""Thank you for coming. I'd like to reintroduce myself."""
ssn_019040_002_0002#0,"""I'm Xiandy. I'm studying the various peculiar phenomena that occur on Halpha."""
ssn_019040_002_0003#0,"""On this occasion... It may seem like a small matter, but mysterious holograms are known to appear around the City at this time of year."""
ssn_019040_002_0004#0,"""These holograms are known as Mischief Symbols. If you find them, please let me know."""
ssn_019040_002_0005#0,"""When I look at the Mischief Symbols that appear at this time of year, I begin to feel somewhat tense. Quite a mysterious feeling."""
ssn_019040_002_0006#0,"""This phenomenon has only been observed in Central City, and there have been no changes to surrounding enemies, so you may take your time with this assignment."""
ssn_019040_002_0007#0,"""Naturally, there will be a reward for your assistance."""
ssn_019040_002_0008#0,"""I look forward to seeing your results."""
ssn_019040_002_0009#0,"""Thank you for coming."""
ssn_019040_002_0010#0,"""I would like to ask you once again to investigate the Mischief Symbols."""
ssn_019040_002_0011#0,"""You recall the Mischief Symbols, don't you? The mysterious holograms which appear around the City."""
ssn_019040_002_0012#0,"""We still have much yet to learn about why our City is occasionally inundated with holographic interlopers."""
ssn_019040_002_0013#0,"""It is thought to be a function of the City itself...<br>Yet we cannot identify which system controls it."""
