st_063050_0150#0,"""No good. They saw through me. I even disguised my parameters...so why?"""
st_063050_0160#0,"""With calculating powers on par with the Akashic Record, it is no surprise they would see through your mimicry."""
st_063050_0170#0,"""What magnificent progress."""
st_063050_0180#0,"""As expected of our... Of something created by the Photoners."""
st_063050_0190#0,"""ARKS mobile weaponry are approaching. They must have traced us back from our teleportation coordinates."""
st_063050_0200#0,"""Hmhm. Do they plan to take their revenge?"""
st_063050_0210#0,"""Such overconfidence in the wake of their successes is exactly the sort of behavior one of their failures would exhibit."""
st_063050_0220#0,"""The assault squad was wiped out...!"""
st_063050_0230#0,"""So not even that was enough... Order a full retreat!"""
st_063050_0240#0,"""Right! All units, retreat! I repeat, all units retreat!"""
st_063050_0250#0,"""Oho, another round of cat and mouse? ...Always playing the role of predator has begun to bore me."""
