st_063030_0020#0,"""어서 와, <%me><br>2대째도 왔구나-"""
st_063030_0030#0,"""알마 씨！<br>몸은 이제 괜찮아？"""
st_063030_0040#0,"""완전히 나은 건 아니지만-<br>샤오도 돌아왔으니<br>나도 계속 누워만 있을 순 없지."""
st_063030_0050#0,"""적이 나타날 곳은 이렇게 예상돼.<br>시가지에 전송이 일어날 조짐이 보여. 다시<br>직접 쳐들어올 생각인가 봐."""
st_063030_0060#0,"""포톤 느낌으로는 정찰 같아.<br>정말 작정하고 온다면<br>좀 더 찌릿찌릿할 테니까."""
st_063030_0070#0,"""하지만 오는 걸 미리 알았으니<br>대책을 세울 수 있습니다！"""
st_063030_0080#0,"""적도 우리 움직임을 예상하겠지만<br>나타난 직후에 막아 낸다면<br>조금은 허를 찌를 수 있을 거야."""
st_063030_0090#0,"""그러니까 첫 공격이 중요해.<br>선봉은 두 사람에게 맡기고 싶어."""
st_063030_0100#0,"""맡겨 줘"""
st_063030_0110#0,"""자신이 없을지도 몰라"""
st_063030_0120#0,"""응.<br>나도……같이 힘낼게！"""
st_063030_0130#0,"""……괜찮아, <%me><br>나도 같이 힘낼 테니까！"""
st_063030_0140#0,"""그럼 두 사람 모두 부탁할게."""
