st_063070_0050#0,"""그럴 수가……！<br>……！"""
st_063070_0060#0,"""용서 못 해……！<br>하루코탄을 짓밟다니……！"""
st_063070_0070#0,"""이런, 참 느긋하게 도착하셨군요."""
st_063070_0080#0,"""……시바！？<br>왜 하루코탄에！"""
st_063070_0090#0,"""술래잡기도 이제 질렸으니<br>귀신 잡기나 해 볼까 해서요."""
st_063070_0100#0,"""언젠가는 모습을 드러내리라<br>생각했습니다만, 늦으셨군요."""
st_063070_0110#0,"""백의 주민은……"""
st_063070_0120#0,"""스쿠나히메는……"""
st_063070_0130#0,"""우선 눈에 띄는 먼지는<br>모두 쓸어 버린 것 같은데요？"""
st_063070_0140#0,"""이렇게 말이지요."""
st_063070_0150#0,"""용서 못 해……！"""
st_063070_0160#0,"""후후후, 꽤나 험악하시군요."""
st_063070_0170#0,"""이리저리 움직이는 먼지는 성가시니<br>이제 슬슬 말끔히 치워 버릴까요."""
st_063070_0180#0,"""<%me> 씨！ 마토이 씨！<br>적 전력이 집결하고 있습니다！<br>서둘러 철수해 주세요！"""
st_063070_0190#0,"""도망치게 둘 것 같습니까？"""
st_063070_0200#0,"""큭……！"""
st_063070_0210#0,"""이런？"""
st_063070_0220#0,"""스쿠나히메！？"""
st_063070_0230#0,"""……"""
st_063070_0240#0,"""그 기운을 보니 이 별의 수호자로군요.<br>지금까지 어디에 숨어 있었는지는 모르겠지만<br>다음 상대는 스쿠나히메입니까？"""
st_063070_0250#0,"""훗！"""
st_063070_0260#0,"""흠？"""
st_063070_0270#0,"""……제법이군요.<br>곧바로 달아날 줄이야."""
st_063070_0280#0,"""이렇게 허술하게 굴면<br>바루나에게 혼날 것 같군요."""
skit01#0,"""A Way to Seal The Demise"""
skit02#0,"""흑백의 땅을 침범한 자"""
