un_062070_0001#0,"""A.P.242/3/5"""
un_062070_0010#0,"""뭐라고！<br>나보다 작으면서 건방지구나！"""
un_062070_0020#0,"""〔무슨 소리냐！〕〔네 쪽이〕<br>〔더 작다！〕"""
un_062070_0030#0,"""누가 봐도 내가<br>더 크잖아！"""
un_062070_0040#0,"""뭐야, 방해하지 마 사라……가 아니라 네놈이었나！"""
un_062070_0045#0,"""사라와는 따로 움직이며 각자 경계 중이다！<br>그보다 이 녀석에게 한마디 해 줘！"""
un_062070_0050#0,"""〔오！〕〔잘 왔다！〕<br>〔<%me>〕<br>〔이 작은 자에게〕〔한마디 해 줘！〕"""
un_062070_0060#0,"""또 작다고 하다니！<br>나보다 훨씬 자그마한 녀석에게<br>몇 번이나 그런 말을 들어야 하는 거냐！"""
un_062070_0070#0,"""아, 정말 끝이 없군！<br>이봐, 네놈은 어떻게 생각하는지 대답해！"""
un_062070_0080#0,"""레라 쪽이 더 작아 보여"""
un_062070_0090#0,"""작은 쪽이 더 귀엽다고 생각해"""
un_062070_0100#0,"""〔그렇게〕〔생각하나？〕<br>〔내가〕〔더 작을 리……〕"""
un_062070_0110#0,"""〔……아〕<br>〔확실히〕〔지금은〕<br>〔내가 더 작구나……〕"""
un_062070_0120#0,"""그, 그런가……<br>네놈의 취향을 물은 건 아니었지만<br>뭐, 물어본 나도 잘못했군……"""
un_062070_0130#0,"""〔그래〕〔알았다！〕<br>〔작은 아크스여〕〔잘 봐라〕<br>〔누가〕〔더 작은지！〕"""
un_062070_0140#0,"""으악！？"""
un_062070_0150#0,"""〔어떠냐！〕<br>〔이제〕〔내가 더〕〔크다는 걸〕<br>〔알았겠지！〕"""
un_062070_0160#0,"""흐, 흥！<br>크다고 다 좋은 건 아니라고！<br>작은 쪽이 편리할 때도 많아！"""
un_062070_0170#0,"""〔그런〕〔건가？〕"""
un_062070_0180#0,"""그, 그래！ 맞아！"""
un_062070_0190#0,"""〔어떤 점이〕〔편리하지？〕"""
un_062070_0200#0,"""어, 어떤 점이라니？<br>그러니까……예, 예를 들면！"""
un_062070_0210#0,"""싸울 때 재빠르게 움직일 수 있어！<br>작으면 장애물이나 적의 공격에<br>맞을 일도 적으니까！"""
un_062070_0220#0,"""재빠르게 움직여<br>정확하고, 확실하고, 빠르게！<br>공격을 꽂아 넣을 수 있어！"""
un_062070_0230#0,"""〔그렇군！〕〔확실히〕<br>〔얼마 전〕〔자옥룡 묘에서도……〕"""
un_062070_0240#0,"""〔적이 나타나는〕〔곳을〕<br>〔정확히〕〔공격했다！〕"""
un_062070_0250#0,"""후훗！ 그래, 맞아！<br>뭐, 나한테는 그 정도야<br>식은 죽 먹기지만 말이지！"""
un_062070_0260#0,"""〔작은 것은〕〔대단하구나！〕<br>〔또 없나？〕〔그 밖에도〕<br>〔작아서〕〔편리한 점이？〕"""
un_062070_0270#0,"""또, 또 있냐？ 그건……<br>이, 이봐！ 네놈도<br>뭔가 알고 있겠지！"""
un_062070_0280#0,"""어……그, 그 밖에는 말이지！<br>처, 천장이 낮은 곳에서도……<br>절대로 머리를 부딪히지 않아！"""
un_062070_0290#0,"""〔그건〕〔좋구나！〕<br>〔나는 늘〕〔부딪힌다！〕<br>〔또 없나？〕〔또 없나？〕"""
un_062070_0300#0,"""그리고 또！ 몸이 작으면<br>도넛 두 개만 먹어도 배가 부르다！"""
un_062070_0310#0,"""하지만 금방 배가 불러서<br>맛있는 것도<br>많이 먹지 못해……"""
un_062070_0320#0,"""〔그건〕〔슬프구나……〕"""
un_062070_0330#0,"""그래도！ 작으면 가끔<br>과자를 받을 수 있다고！"""
un_062070_0340#0,"""〔대단해！〕〔정말 대단하다！〕<br>〔작다는 건〕〔훌륭하구나！〕<br>〔그렇다면！〕"""
un_062070_0350#0,"""〔이제 나도〕〔과자를〕<br>〔받을 수 있겠구나！〕"""
un_062070_0360#0,"""그래, 맞아！"""
un_062070_0365#0,"""자, <%me>！<br>사양하지 말고 작은 우리에게<br>마음껏 과자를 줘도 된다고！"""
un_062070_0370#0,"""〔좋다！〕"""
