un_012430_0010#0,"""やあやあ君か！\u3000元気か君！"""
un_012430_0020#0,"""最近のアークス全体の空気には<br>活力が足りないように思えてな！<br>会うたび会うたび確認している！"""
un_012430_0030#0,"""ダークファルスの復活に<br>謎の暴走龍の出現と続いたからな。<br>まあ、沈みたくなる気持ちもわかる！"""
un_012430_0040#0,"""だが、そこでずっと凹んでいるのは<br>三流のやることだ！"""
un_012430_0050#0,"""そしてオレたちアークスは<br>みな一流の人間だ！\u3000三流ではない！<br>プロフェッショナルなのだ！"""
un_012430_0060#0,"""オレたちは、命令を受けて<br>それに従う以上に、自分で考え<br>自分で動かねばならない！"""
un_012430_0070#0,"""上から提供される情報と<br>他者から下される命令に従うのは<br>とても楽なことだ！\u3000否定はしない！"""
un_012430_0080#0,"""だが、忘れてはいけないぞ！<br>そこに正義があるのかどうか<br>それこそが重要なんだ！"""
un_012430_0090#0,"""常に揺るがぬ自身の正義を持つ！<br>そして、それをひたすらに信じる！<br>過信でも構わない、それも自信だ！"""
un_012430_0100#0,"""そうすれば、道は見失わない。<br>迷った時は、自分の心にのみ<br>従えば良いだけだ。"""
un_012430_0110#0,"""っとお！\u3000いかんいかんぞ！<br>しんみりしはじめてしまった！"""
un_012430_0120#0,"""こういうときは、ただひたすらに<br>自分の正義を実行するに限る！<br>正義とはつまり、人助けだ！"""
un_012430_0130#0,"""オレはこのまま遊撃に向かう！<br>それではまたな！"""
