un_012510_0005#0,"""【明るく激しくいきましょう！】<br>仮テキスト"""
un_012510_0010#0,"""……続いて、本日のトピックスです。"""
un_012510_0020#0,"""先日、アークスの<br>イメージアーティストに抜擢された<br>歌手のクーナさん。"""
un_012510_0030#0,"""話題沸騰のさなか<br>各アークスシップを巡る<br>ライブツアーを開始しました。"""
un_012510_0040#0,"""みんなー！<br>今日は来てくれて<br>あっりがとー！"""
un_012510_0050#0,"""全身全霊、魂を込めて<br>歌うからねー！"""
un_012510_0060#0,"""アンコールだって、いつまでも！<br>みんなも、細かいことは忘れて<br>心のままに、ついてきて！"""
un_012510_0070#0,"""明るく、激しく、鮮烈にっ！<br>みんなで楽しんでいきましょう！"""
un_012510_0080#0,"""いやー……やっぱクーナちゃんは<br>かわいいなぁ……！"""
un_012510_0090#0,"""くーっ、オレもあそこに<br>行きたかったぜ！<br>クーナちゃんに会いたかった！"""
un_012510_0100#0,"""みんなー！<br>今日は来てくれてあっりがとー！"""
un_012510_0110#0,"""全身全霊、魂を込めて歌うからねー！"""
un_012510_0120#0,"""アンコールだって、いつまでも！<br>みんなも、細かいことは忘れて<br>心のままに、ついてきて！"""
un_012510_0130#0,"""明るく、激しく、鮮烈にっ！<br>みんなで楽しんでいきましょう！"""
un_012510_0140#0,"""いやー……やっぱクーナちゃんは<br>かわいいなぁ……！"""
un_012510_0150#0,"""くーっ、オレもあそこに行きたかったぜ！<br>クーナちゃんに会いたかった！"""
