un_013190_0001#0,"""A.P.238/4/8"""
un_013190_0010#0,"""Hello, and to jump to the point, are you going to be attending the championship?"""
un_013190_0020#0,"""You're going right, right? When it doesn't matter because you don't have a choice anyways."""
un_013190_0030#0,"""Anyways, it looks like in order to participate you have to form a party."""
un_013190_0040#0,"""And here is another question, you haven't decided on a party yet right?"""
un_013190_0050#0,"""Because here's a super hint; the ARKS right in front of you is looking for someone too!"""
un_013190_0060#0,"""I wonder who it is?"""
un_013190_0070#0,"""She must be talking about me, if you want to party, I'll gladly join."""
un_013190_0080#0,"""No no no no. It's no good if you run off with Tea and leave me by myself!"""
un_013190_0090#0,"""That's because Tea and I are a set, Patty&Tea!"""
un_013190_0100#0,"""So who was the one who was trying to ditch me?"""
un_013190_0110#0,"""Well, the ARKS Championship..."""
un_013190_0120#0,"""I thought Huey was just joking when he said we could be fired, turns out that's not exactly the case."""
un_013190_0130#0,"""So basically we're looking to increase our chances of not getting laid off."""
un_013190_0140#0,"""If you invite us, we'll both come, so it might improve our ARKS Championship score."""
un_013190_0150#0,"""So be sure to invite us, or we'll put a curse on you."""
un_013190_0160#0,"""Don't worry about this idiot, just pair with us if you'd like to."""
