st_012110_0010#0,"""It's saying something"""
st_012110_0020#0,"""It's calling for you"""
st_012110_0030#0,"""What?"""
st_012110_0040#0,"""What, is there something you want to say to me Hadred?"""
st_012110_0050#0,"""...that song...one more time..."""
st_012110_0060#0,"""You finally speak and that's what you-?"""
st_012110_0070#0,"""You're so stupid!"""
st_012110_0080#0,"""Really... just so...."""
st_012110_0090#0,"""Okay, I understand! Not just one song, but I'll sing for you as much as you'd like!"""
st_012110_0100#0,"""The audience is just <%me> and Hadred, but I'll give it everything I have. But that's why..."""
st_012110_0110#0,"""But Hadred, you can't fall asleep! Please don't fall asleep."""
st_012110_0120#0,"""This song. This one song... is for you."""
st_012110_0130#0,"""A.P.238/4/23/14:30"""
skit01#0,"""Our Final Farewell"""
skit02#0,"""第１０章 虚空に奏でるアンコール"""
