un_012170_0010#0,"""......ふーんふふーん。<br>（鼻歌。主題歌があればそれ）"""
un_012170_0020#0,"""Are you perhaps talking to me?"""
un_012170_0030#0,"""Wait! Just wait a second!"""
un_012170_0040#0,"""Why?"""
un_012170_0050#0,"""I guess if you found me there's not much I can do about it."""
un_012170_0060#0,"""So what do you want me to sign?"""
un_012170_0070#0,"""You don't want my signature? Then what are you here to talk to me about?"""
un_012170_0080#0,"""I am Quna the most amazing idol who makes even the biggest cry-babies happy."""
un_012170_0090#0,"""Wait, don't tell me you've never heard of me?"""
un_012170_0100#0,"""Pretending like you know and then don't know is annoying, so please cut that out."""
un_012170_0110#0,"""There are a lot of things I want to enjoy with out being recognized, so please keep this a secret to everyone else."""
un_012170_0120#0,"""In exchange I'll give you the exclusive honor of getting something signed by me! One time only though."""
un_012170_0130#0,"""A.P.238/4/2"""
