un_012290_0010#0,"""Oh hello, it's Tea. Hey Patty, say hello too."""
un_012290_0020#0,"""Oh, uh, Patty here."""
un_012290_0030#0,"""To explain as an extension from the information from before, there's also a [Death Squad] in ARKS."""
un_012290_0040#0,"""There's no firm evidence, but it seems there are rumors there's someone in ARKS that cleans up loose ends."""
un_012290_0050#0,"""So Patty is worried about the possibility of her getting whacked for knowing too much."""
un_012290_0060#0,"""But a [Death Squad]? That's what they do right, get rid of people?"""
un_012290_0070#0,"""They're the kind of people who quietly say, \""you found out too much,\"" right before they slit your throat right?"""
un_012290_0080#0,"""I don't think that they go out of their way to act like they're in a movie..."""
un_012290_0090#0,"""But even if it's the ARKS Death Squad, their main job seems to revolve around destroying Darkers."""
un_012290_0100#0,"""Oh really? I guess I'm okay then."""
un_012290_0110#0,"""But if you run around shouting sensitive information to everyone, there still is a chance you might get targeted though."""
un_012290_0120#0,"""I'm screwed!"""
