ra_013030_0001#0,"""A.P.238/4/2"""
ra_013030_0010#0,"""ん？\u3000過去の出来事の話？<br>ダークファルスが出てきたときの<br>話が聞きたいって？"""
ra_013030_0020#0,"""そりゃ、習った部分なら<br>おれだって多少は覚えてるけど……"""
ra_013030_0030#0,"""……あー、でもどうかな。<br>おれ座学苦手だったし。"""
ra_013030_0040#0,"""全部あってるかどうかは<br>わからないけど、それでもいいなら。"""
ra_013030_0050#0,"""おれが覚えている限りだと<br>ダークファルスって名前が<br>出てきたのは、2回だなあ。"""
ra_013030_0060#0,"""40年前の戦争と<br>10年前にあった、アレ。"""
ra_013030_0070#0,"""40年前のはあれだよ。<br>ダークファルス【巨躯】を<br>倒した、ってやつ。"""
ra_013030_0080#0,"""まあ、実際には倒したんじゃなくて<br>封印した、ってのが正しかった<br>みたいだけどさ。"""
ra_013030_0090#0,"""そのときの主力メンバーだった<br>三人が、三英雄になったんだよ。"""
ra_013030_0100#0,"""三英雄が中心になって、その戦争で<br>ぼろっぼろになっちまったアークスを<br>立て直した、って流れのはず。"""
ra_013030_0110#0,"""んで、あと一回は10年前。<br>おれだって覚えてるよ<br>あのときのことは……"""
ra_013030_0120#0,"""ダークファルスによる<br>アークスへの大規模攻勢。"""
ra_013030_0130#0,"""ええと……あれの顛末は確か<br>二代目のクラリスクレイスの力で<br>ダークファルス共を押し返した、はず。"""
ra_013030_0140#0,"""でもそれで亡くなっちゃったらしくて<br>今のクラリスクレイスは三代目。"""
ra_013030_0150#0,"""確か、あのときは他にも<br>有名な人たちがたくさんやられて<br>とにかくひどい被害だったぜ。"""
ra_013030_0160#0,"""あれでどんだけのシップが<br>墜とされたんだろう……"""
ra_013030_0170#0,"""アークスだけじゃなくて<br>一般市民にも被害が及んで、さ。"""
ra_013030_0180#0,"""おれの姉ちゃんも、行方不明に……"""
ra_013030_0190#0,"""ああっと、すまねえ！<br>そういう話をしてるんじゃなかった！"""
ra_013030_0200#0,"""ま、そんなところかな。<br>曖昧なところが多いのは勘弁な。<br>なーんか思い出せなくてさ。"""
ra_013030_0210#0,"""過去の出来事を振り返ってみると<br>まだ今回はマシな方なのかもな。"""
ra_013030_0220#0,"""……身近なひとが<br>やられたってのは<br>けっこうこたえるけど。"""
ra_013030_0230#0,"""……ああ、いや。<br>ゼノさんはまだやられたって<br>決まったわけじゃないよな。"""
ra_013030_0240#0,"""うん、そう、そうだ。<br>行方不明なだけだからな。<br>大丈夫、大丈夫っと！"""
