un_013020_0001#0,"""A.P.238/4/7"""
un_013020_0010#0,"""... oh hey."""
un_013020_0020#0,"""The event right? I heard about it on the monitor. But I'm really not interested."""
un_013020_0030#0,"""The only thing I'm interested in, is how to get stronger to get rid of more Darkers."""
un_013020_0040#0,"""If I had the power to be able to get rid of Dark Falz then..."""
un_013020_0050#0,"""... she wouldn't have had to die."""
un_013020_0060#0,"""Why? Why did it have to be her that died?"""
un_013020_0070#0,"""Why? She didn't have all of that much talent, but she tried her best every single day..."""
un_013020_0080#0,"""And just when she thought she had finally realized her dream..."""
un_013020_0090#0,"""...sorry. I guess there's no reason."""
un_013020_0100#0,"""All I can do is get rid of all of the Darkers with out thinking about it."""
un_013020_0110#0,"""I think that's the only thing that I can do."""
un_013020_0120#0,"""I'm going to get going. At the event I'll try to get rid of as many as possible."""
