un_012300_0005#0,"""【調査依頼おまかせあれ！】<br>仮テキスト"""
un_012300_0010#0,"""Hello there! Patty here, is there anything you're having trouble with?"""
un_012300_0020#0,"""She's still a little influenced by the person she met before. Tea here."""
un_012300_0030#0,"""It looks like there's something you actually want to ask. Go ahead ask me anything!"""
un_012300_0040#0,"""Any information on the Research Facility?"""
un_012300_0050#0,"""About the accident at the Research Facility."""
un_012300_0060#0,"""Research Facility?"""
un_012300_0070#0,"""The Research Division at ARKS. You gave information about it before."""
un_012300_0080#0,"""Hm? Did I really talk about something like that? I can't remember."""
un_012300_0090#0,"""But I guess if you say I did, then I probably did."""
un_012300_0100#0,"""Hm, the accident at the research division?"""
un_012300_0110#0,"""There was an accident? I can't recall anything like that."""
un_012300_0120#0,"""There was, you were the one who told <%me> about it!"""
un_012300_0130#0,"""Oh-? Right! I know what you're talking about now!"""
un_012300_0140#0,"""I see, so about the ARKS Research Facility, you have your eye on some dangerous information."""
un_012300_0150#0,"""The ARKS Research Facility is top secret. We might be able to get our hands on some info, but it's a risk."""
un_012300_0160#0,"""Even so, the words \""impossible\"" don't exist in our dictionary."""
un_012300_0170#0,"""Plus since you ask there's no way we could turn you down. Let's go Tea!"""
un_012300_0180#0,"""Patty wait, \""impossible\"" is one word, you idiot!"""
un_012300_0190#0,"""Anyway, we'll do our best to try and get some information for you. See you next time."""
