st_013600_0001#0,"""A.P.238/4/9/10:55"""
st_013600_0010#0,"""... hey wait!"""
st_013600_0020#0,"""Hey you!"""
st_013600_0030#0,"""You can't go by yourself, it's a rule of this event."""
st_013600_0040#0,"""You have to attend in a party, going alone will forfeit the event."""
st_013600_0050#0,"""So hurry up and find a party?"""
st_013600_0060#0,"""... or are you some kind of loner or something?"""
st_013600_0070#0,"""Sorry, I didn't mean anything by that! It just seems that you're by yourself pretty often."""
st_013600_0080#0,"""It seems that pairing with me might be a good change of pace."""
st_013600_0090#0,"""Might as well, right? If you have any problems, I can go back early."""
st_013600_0100#0,"""Anyways, it's starting soon, so hurry up."""
