msc_027040_0010#0,"""오래 기다렸지?"""
msc_027040_0020#0,"""어라? 파리아는?"""
msc_027040_0030#0,"""저기에 있어."""
msc_027040_0040#0,"""파리아!"""
msc_027040_0050#0,"""…그건 어떻게 된거야?"""
msc_027040_0060#0,"""전투에 나서게 된다면, 이라며<br>크로포드가 준비해줬어요."""
msc_027040_0070#0,"""그렇구나.<br>헤에~"""
msc_027040_0080#0,"""잘 어울려."""
msc_027040_0090#0,"""멋져."""
msc_027040_0100#0,"""감사합니다."""
msc_027040_0110#0,"""그, 그런가요?"""
msc_027040_0120#0,"""그런데… 그…."""
msc_027040_0130#0,"""제페토에게 조종당하고 있을 때는<br>어떤 느낌이었어?"""
msc_027040_0140#0,"""조종당하고 있다… 랄까,<br>제 몸에서 정신이 분리된 것 같은 느낌이었습니다."""
msc_027040_0150#0,"""또 다른 자신을 보는 것 같은…"""
msc_027040_0160#0,"""마논, 무슨 일이야?"""
msc_027040_0170#0,"""어째서 파리아였을까?"""
msc_027040_0180#0,"""어?"""
msc_027040_0190#0,"""제페토가<br>메시지 전달자로 선택한 상대 말이야."""
msc_027040_0200#0,"""그건 제가 제페토의<br>백업이기 때문입니다."""
msc_027040_0210#0,"""백업?<br>하지만, 너는…."""
msc_027040_0220#0,"""네.<br>마논의 백업입니다."""
msc_027040_0230#0,"""그리고 동시에 제페토의<br>백업도 있었던 것 같습니다."""
msc_027040_0240#0,"""어떻게 그렇게 단언할 수 있어?"""
msc_027040_0250#0,"""제페토의 의식이 유입될 때,<br>그러한 정보들이 동시에 흘러들어왔습니다."""
msc_027040_0260#0,"""자신에게 무슨 일이 생겼을 때를 대비해서,<br>미리 준비해뒀다…는 거네."""
msc_027040_0270#0,"""파리아, 정말 아무 일도 없어?"""
msc_027040_0280#0,"""파리아, 무슨 일이 있으면 바로 말해줘야해?"""
msc_027040_0290#0,"""아, 네… 괜찮습니다."""
msc_027040_0300#0,"""네 네…."""
msc_027040_0310#0,"""저기… 그…."""
msc_027040_0320#0,"""감사합니다.<br>…걱정해 주셔서."""
