msq_027081_0010#0,"""어라? 이 노래는…."""
msq_027081_0020#0,"""너희들이<br>\""애도의 노래\""라고 불렀었지."""
msq_027081_0030#0,"""그게 왜…?"""
msq_027081_0040#0,"""내가 루시엘에 있을 때<br>매일 정해진 시간에 이 노래가 흘러나왔어."""
msq_027081_0050#0,"""…이유는 모르겠어."""
msq_027081_0060#0,"""하지만 아마 리템에서 전해 내려오는 것과<br>비슷한 내용이었을 거라고 생각해."""
msq_027081_0070#0,"""……어?"""
msq_027081_0080#0,"""제페토는 과거의 스타레스와의 싸움에서<br>많은 목숨을 잃었다고 했어."""
msq_027081_0090#0,"""그런 사람들을 \""애도\""하기 위해<br>이 노래가 있지 않았을까…."""
msq_027081_0100#0,"""그 마음을 잊지 않기 위해<br>루시엘에서도 틀어줬다…."""
msq_027081_0110#0,"""파리아, 이 노래에 대해서<br>뭔가 정보가 있어?"""
msq_027081_0120#0,"""…아뇨, 아무 것도 없습니다."""
msq_027081_0130#0,"""하지만…."""
msq_027081_0140#0,"""저도 마논의 의견에 동의합니다."""
msq_027081_0150#0,"""여기서도, 루시엘에서도,<br>이 노래를 계속 틀었어…."""
msq_027081_0160#0,"""제페토의 마음도,<br>이 노래에 담겨있었구나…."""
name010#0,"""아이나"""
name020#0,"""마논"""
name030#0,"""파리아"""
