name_7451#0,"""빅토리아"""
ssn_016100_001_0010#0,"""オーケー！<br>それじゃ, \""라인 스트라이크\""에 대하여教えるね."""
ssn_016100_001_0020#0,"""라인 스트라이크は,<br>対戦型のカードゲームなんだ."""
ssn_016100_001_0030#0,"""使うカードは全部で15枚."""
ssn_016100_001_0040#0,"""遊ぶ前には,<br>カードデッキを準備する必要があるんだよ."""
ssn_016100_001_0050#0,"""で, 今回はサービス.<br>ベーシックなデッキをプレゼント！"""
ssn_016100_001_0060#0,"""後でゆっくり見てみてね."""
ssn_016100_001_0070#0,"""次に, 라인 스트라이크のルール."""
ssn_016100_001_0080#0,"""３つのライン上にカードを置いて<br>各ラインの戦力の合計値を競うの."""
ssn_016100_001_0090#0,"""各ラインには, \""거점\""が設定されてて……."""
ssn_016100_001_0100#0,"""……って, まあ, 口で説明するより,<br>実際にプレイしてもらったほうが早いね."""
ssn_016100_001_0110#0,"""それじゃ, レッツプレイゲーム！"""
