msc_027140_0010#0,"""이 안에,<br>제페토의… 그, 몸이?"""
msc_027140_0020#0,"""…아니."""
msc_027140_0030#0,"""이 안에 있는 것은,<br>4th 클론의 소체."""
msc_027140_0040#0,"""전투 데이터 기록이 끝났다.<br>\""정신\""을 정착하지 않은 상태다."""
msc_027140_0050#0,"""무슨 소리야?"""
msc_027140_0060#0,"""설마, 또 우리를<br>어떤 실험의 일부로…?"""
msc_027140_0070#0,"""…그렇지 않다."""
msc_027140_0080#0,"""내 육체는… 이전의 싸움에서<br>완전히 잃어버렸다…."""
msc_027140_0090#0,"""…뭐?"""
msc_027140_0100#0,"""너희와의 전투 후에,<br>습격해 온 스타레스틔 선봉대."""
msc_027140_0110#0,"""그 격퇴에는 성공했지만,<br>내 몸도 회복할 수 없을 만큼의 손상을 입었다."""
msc_027140_0120#0,"""그래서, 나는 힘을 사용하여<br>정신을 파리아의 몸으로 옮겼다."""
msc_027140_0130#0,"""그럼, 지금까지 계속<br>너는 파리아의 안에 있었다는 말이야?"""
msc_027140_0140#0,"""그렇다."""
msc_027140_0150#0,"""……."""
msc_027140_0160#0,"""처음부터,<br>우리를 여기로 인도하는 것이 목적이였네?"""
msc_027140_0170#0,"""그렇다."""
msc_027140_0180#0,"""이번 목표는 뭐야?"""
msc_027140_0190#0,"""나의 정신을,<br>4th 클론으로 옮기는 것."""
msc_027140_0200#0,"""그래서, 리서전트 아크스의 총독으로 복귀한다고?"""
msc_027140_0210#0,"""스타레스와의 싸움에,<br>종지부를 찍기 위해 싸우는 것이다."""
msc_027140_0220#0,"""4th 클론은,<br>909, 네 힘을 피드백한 존재다."""
msc_027140_0230#0,"""거기에는 지금까지의 모든 전투 기록도<br>담겨져 있다."""
msc_027140_0240#0,"""최강의 아크스를 뛰어넘는 아크스가 탄생하는 것이다."""
msc_027140_0250#0,"""…그건 확실한 거야?"""
msc_027140_0260#0,"""…해보지 않으면 알 수 없다."""
msc_027140_0270#0,"""그렇다면 더 많은 데이터를 모아서…."""
msc_027140_0280#0,"""시간이 없다!"""
msc_027140_0290#0,"""내가 이 몸 안에 있을 수 있는 시간은,<br>그리 길지 않다."""
msc_027140_0300#0,"""정신을 정착시킬<br>매개체가 필요하다."""
msc_027140_0310#0,"""…그럴수가."""
msc_027140_0320#0,"""파리아, 절차는 이해했지?"""
msc_027140_0330#0,"""네."""
msc_027140_0340#0,"""그럼, 시작하지."""
msc_027140_0350#0,"""이런 힘이… 존재할 줄이야."""
msc_027140_0360#0,"""좋아… 좋았어…."""
msc_027140_0370#0,"""스타레스!?"""
msc_027140_0380#0,"""여기까지 올 줄이야…."""
msc_027140_0390#0,"""시간을 벌어줄게."""
msc_027140_0400#0,"""지금까지의 책임은 직접 져야지."""
msc_027140_0410#0,"""…그런가."""
msc_027140_0420#0,"""……그래.<br>물론이다."""
msc_027140_0430#0,"""셋이서만 싸우는 건  오랜만인 것 같네."""
msc_027140_0440#0,"""응, 그렇네."""
