msc_027070_0010#0,"""그건 그렇고,<br>정말 아무도 없네."""
msc_027070_0020#0,"""할파에서 실험을 시작한 이후,<br>여기에서 이주한 것 같습니다."""
msc_027070_0030#0,"""도시의 기능은<br>오랜기간 휴면 상태였습니다."""
msc_027070_0040#0,"""하지만 저희가 발을 내딛으면서<br>일부 기능이 재가동 된 것 같습니다."""
msc_027070_0050#0,"""그래서 에너미가 출현하는 거야?"""
msc_027070_0060#0,"""외부의 적에 대한 방어 시스템인 것 같습니다."""
msc_027070_0070#0,"""일부 훈련 프로그램에 오류도 보입니다."""
msc_027070_0080#0,"""에너미를 멈출 수 있는 방법은?"""
msc_027070_0090#0,"""제페토는 왜 멈추지 않는 걸까?"""
msc_027070_0100#0,"""관리 권한은,<br>총독… 제페토가 가지고 있는 것 같습니다."""
msc_027070_0110#0,"""멈추지 않는 이유는… 모르겠습니다."""
msc_027070_0120#0,"""모르겠습니다."""
msc_027070_0130#0,"""하지만, 관리 권한은<br>총독… 제페토가 가지고 있는 것 같습니다."""
msc_027070_0140#0,"""여기가 언제부터 사용되었는지 알겠어?"""
msc_027070_0150#0,"""아뇨, 그 정보도 주어지지 않았습니다…."""
msc_027070_0160#0,"""이 정도 규모의 도시,<br>모두 할파나 루시엘로 옮겨갔을 것 같지는 않다고 생각해."""
msc_027070_0170#0,"""…그것 역시 자세한 내용은 알 수 없습니다."""
msc_027070_0180#0,"""역시 자기에게 불리한 것은<br>\""비밀\""이란 걸까…."""
msc_027070_0190#0,"""모르는 것은,<br>제페토에게 물어보는게?"""
msc_027070_0200#0,"""이제 곧 만날 수 있겠지?"""
msc_027070_0210#0,"""그렇네.<br>가보자."""
