name_7451#0,"""빅토리아"""
ssn_016100_0001#0,"""암 쏘리~<br>지금 좀 바빠서…."""
ssn_016100_0002#0,"""다음에 또 얘기하자."""
ssn_016100_0101#0,"""하이, 웰컴!"""
ssn_016100_0102#0,"""내 얘기에<br>관심을 가져준 것 같네."""
ssn_016100_0103#0,"""내가 소개할 건,<br>카드를 이용한 게임이야."""
ssn_016100_0104#0,"""이름하여, \""라인 스트라이크\""!"""
ssn_016100_0105#0,"""디티의 데이터베이스를 조사하다가,<br>우연히 발견했어."""
ssn_016100_0106#0,"""괜찮다면 플레이해 보지 않을래?"""
ssn_016100_0201#0,"""하이, 웰컴!"""
ssn_016100_0202#0,"""\""라인 스트라이크\"", 즐기고 있어??"""
npc_menu_0001#0,"""태스크 수주하기"""
npc_menu_0002#0,"""\""라인 스트라이크\""에 대하여 묻기"""
npc_menu_0003#0,"""메뉴 닫기"""
npc_menu_0004#0,"""\""라인 스트라이크NPC\""에 대하여"""
npc_menu_0005#0,"""\""라인 스트라이크의 덱\""에 대하여"""
npc_menu_0006#0,"""\""라인 스트라이크 게임 룰\""에 대하여"""
npc_menu_0007#0,"""\""라인 스트라이크의 대전 룰 종류\""에 대하여"""
npc_menu_0008#0,"""\""카드 스크래치\""에 대하여"""
npc_menu_0009#0,"""묻고 싶은 것이 없다"""
npc_menu_0010#0,"""라인 스트라이크 카드 리사이클"""
npc_menu_0011#0,"""라인 스트라이크 카드 교환"""
