Title#0,"""Training: Traces of Darkness"""
Explanation#0,"""This mission is part of a battle exercise.<br>By competing for the best time, we<br>expect ARKS to reach further heights.<br>Compete for the best time to subdue all<br>enemies. In order to obtain the best time,<br>we recommend forming a party first.<br>[Notes]<br>Items/EXP cannot be obtained.<br>――――――――――――――――――――<br>Failure: Retire after being incapacitated."""
SimpleExplanation#0,"""Head to the final area!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Area0S#0,"""Darker Den Area"""
Area0L#0,"""???? - Darker Den Area"""
Area1S#0,"""Quarry Area"""
Area1L#0,"""Lillipa - Quarry Area"""
Area2S#0,"""Kuron Area"""
Area2L#0,"""Harkotan - Kuron Area"""
Area3S#0,"""Ruins Area"""
Area3L#0,"""Naberius - Ruins Area"""
