ssc_511030_0010#0,"""...หืม? อ้า <%me> นี่เอง"""
ssc_511030_0020#0,"""มาทำอะไร<br>ตั้งไกลถึงนี่งั้นเหรอ?"""
ssc_511030_0030#0,"""แค่มาดูสถานการณ์รอบๆ น่ะ"""
ssc_511030_0040#0,"""แล้วเธอล่ะ?"""
ssc_511030_0050#0,"""ต้องขอขอบคุณเป็นอย่างยิ่ง<br>สำหรับความช่วยเหลือเรื่องสงครามอย่างต่อเนื่องของเธอนะ"""
ssc_511030_0060#0,"""พวกเราคงไม่สามารถครอบคลุม<br>พื้นที่สเตีย (Stia) ทั้งหมดได้ด้วยกำลังคนเพียงเท่านี้หรอก"""
ssc_511030_0070#0,"""ตอนนี้กำลังทำหน้าที่ลาดตระเวนอยู่น่ะ"""
ssc_511030_0080#0,"""ยังมีศัตรูอีกมากมาย<br>หลงเหลืออยู่ทั่วทั้งสเตีย (Stia) เลยล่ะ"""
ssc_511030_0090#0,"""โดยเฉพาะอย่างยิ่งในพื้นที่แห่งนี้ที่มีศัตรูระดับความแข็งแกร่งสูงซุ่มซ่อนอยู่"""
ssc_511030_0100#0,"""นับว่าเป็นสถานที่ที่อันตรายมาก<br>สำหรับ ARKS ที่ยังไม่มีประสบการณ์น่ะนะ"""
ssc_511030_0110#0,"""...ถึงอย่างนั้น ก็ไม่เคยคิดเลยว่า<br>จะมีโครงสร้างขนาดมหึมาอยู่ข้างล่างนี่..."""
ssc_511030_0120#0,"""ช็อกไปเลยเหมือนกัน"""
ssc_511030_0130#0,"""รู้อยู่แล้วเหรอว่ามีอะไรอยู่ข้างล่างนี่?"""
ssc_511030_0140#0,"""ครอว์ฟอร์ด (Crawford) ไม่ได้อธิบายให้ฟังล่วงหน้าเหรอ?"""
ssc_511030_0150#0,"""งั้นเหรอ... บางทีเขาอาจจะไม่แน่ใจว่า<br>ข้อมูลของเขามันเชื่อถือได้หรือเปล่าล่ะมั้ง"""
ssc_511030_0160#0,"""ไม่หรอก พวกเราไม่รู้เรื่องนี้เลยจนกระทั่ง<br>ครอว์ฟอร์ด (Crawford) นำข้อมูลมาบอกพวกเรานี่แหละ"""
ssc_511030_0170#0,"""สถานที่แห่งนี้ก็เป็นแค่เป้าหมาย<br>สุดท้ายของพวกเรา เหมือนกับของเธอนั่นแหละ"""
ssc_511030_0180#0,"""ถึงอย่างนั้น เป้าหมายของพวกเราก็เป็นเพียงแค่<br>การเข้ายึดการควบคุมพื้นที่เท่านั้น"""
ssc_511030_0190#0,"""พวกเรากะไว้แล้วล่ะว่าต้องมีศัตรูที่แข็งแกร่งซุ่มซ่อนอยู่ที่นี่<br>แต่ไม่คิดเลยว่ามันจะเป็น Dark Falz น่ะ"""
ssc_511030_0200#0,"""ถ้าเกิดพวกเราบุกเข้าไปที่นั่นโดยไม่มีเธอคอยสนับสนุนล่ะก็<br>ไม่อยากจะนึกเลยว่าจะเกิดอะไรขึ้น..."""
ssc_511030_0210#0,"""อ้า พอพูดถึงเรื่องนี้ ยังไม่ได้บอกเรื่องนี้เลยนี่นา"""
ssc_511030_0220#0,"""ตอนที่อยู่ภายในพื้นที่ส่วนกลาง ทีมสำรวจของพวกเรา<br>พบข้อมูลบางอย่างเกี่ยวกับ Dark Falz น่ะ"""
ssc_511030_0230#0,"""ตามรายงาน ดูเหมือนว่า Dark Falz กำลัง<br>รวบรวมข้อมูลการต่อสู้จากทั่วทั้งฮาลฟา (Halpha) อยู่เลยล่ะ"""
ssc_511030_0240#0,"""...ทำตามความต้องการของตัวเองงั้นเหรอ?"""
ssc_511030_0250#0,"""...ทำตามคำสั่งของใครบางคนงั้นเหรอ?"""
ssc_511030_0260#0,"""เรื่องนั้น... พวกเราเองก็ไม่รู้เหมือนกัน"""
ssc_511030_0270#0,"""นั่นทำให้เกิดคำถามขึ้นมาว่า<br>'ถ้าเป็นแบบนั้น แล้วมันทำตามคำสั่งของใครล่ะ?'"""
ssc_511030_0280#0,"""รายละเอียดต่างๆ ยังไม่ค่อยชัดเจนเท่าไหร่ แต่..."""
ssc_511030_0290#0,"""แทบไม่ต้องสงสัยเลยล่ะว่า<br>Dark Falz กำลังเรียนรู้วิธีการต่อสู้ของ ARKS อยู่น่ะ"""
ssc_511030_0300#0,"""ถ้าปล่อยไว้ไม่จัดการล่ะก็ มันอาจจะกลายเป็น<br>ศัตรูที่น่าเกรงขามยิ่งกว่านี้ไปอีกก็ได้"""
ssc_511030_0310#0,"""บางทีอาจจะต้องพูดว่าเป็นเรื่องดีแล้วล่ะ<br>ที่พวกเราจัดการมันได้ตอนนี้ ไม่ใช่วันหลัง..."""
ssc_511030_0320#0,"""จะส่งต่อข้อมูลนี้<br>ให้กับครอว์ฟอร์ด (Crawford) ด้วยเหมือนกัน"""
ssc_511030_0330#0,"""มั่นใจเลยว่าเขาจะต้อง<br>หาวิธีแก้ปัญหาได้แน่"""
ssc_511030_0340#0,"""คงต้องใช้เวลาสักหน่อย แต่พวกเราก็ตั้งใจว่าจะ<br>สำรวจพื้นที่บริเวณนี้ต่อไปล่ะนะ"""
ssc_511030_0350#0,"""...อ้า ขอโทษทีนะ กลายเป็นว่า<br>คุยกันซะยาวเลย"""
ssc_511030_0360#0,"""ขอตัวกลับไปทำภารกิจต่อก่อนนะ"""
ssc_511030_0370#0,"""หวังว่าคงจะได้เจอกันอีกเร็วๆ นี้นะ"""
