ssc_511020_0010#0,"""อ๊ะ? สวัสดี"""
ssc_511020_0020#0,"""อ้อ ใช่แล้ว ระหว่างที่อยู่ที่นี่<br>ขอถามอะไรหน่อยได้ไหม"""
ssc_511020_0030#0,"""...ตอนที่ได้เห็นที่นี่<br>เป็นครั้งแรก คิดยังไงบ้างล่ะ?"""
ssc_511020_0040#0,"""ช็อกไปเลยล่ะ"""
ssc_511020_0050#0,"""มันทำให้นึกถึงพื้นที่อีกแห่งน่ะ"""
ssc_511020_0060#0,"""นั่นสิ สมควรเป็นแบบนั้นแหละ<br>ทางนี้เองก็รู้สึกเหมือนกัน"""
ssc_511020_0070#0,"""เข้าใจล่ะ เดาว่าพื้นที่แห่งนั้น<br>คงจะเป็นมาคัดตอนล่าง (Lower Maqaad) ของรีเทม (Retem) สินะ?"""
ssc_511020_0080#0,"""ผู้บัญชาการเกลน (Guren) เป็นคนนำทีม<br>สำรวจที่ค้นพบสถานที่แห่งนี้เองล่ะ"""
ssc_511020_0090#0,"""ทางนี้เองก็เป็นหนึ่งในทีมสำรวจนั้นเหมือนกัน"""
ssc_511020_0100#0,"""'พวก DOLLS ไม่ได้มาจากท้องฟ้าหรอกนะ<br>พวกมันถูกสร้างขึ้นที่ไหนสักแห่งบนฮาลฟา (Halpha) นี่แหละ'"""
ssc_511020_0110#0,"""นั่นคือคำพูด<br>ที่ฮิบานะ (Hibana) ทิ้งเอาไว้..."""
ssc_511020_0120#0,"""ไม่คิดเลยว่ามันจะ<br>มาปรากฏอยู่ตรงหน้าแบบนี้น่ะ"""
ssc_511020_0130#0,"""ในตอนแรกท่านผู้บัญชาการก่อตั้งกองกำลังแนวหน้าสเตีย (Stia Vanguard)<br>โดยมีเป้าหมายหลักในการเข้ายึดศูนย์วิจัยแห่งนี้แหละ"""
ssc_511020_0140#0,"""...ว่าแต่ ครอว์ฟอร์ด (Crawford) ได้บอกอะไร<br>เกี่ยวกับพื้นที่นี้ก่อนที่เธอจะมาถึงบ้างไหม?"""
ssc_511020_0150#0,"""ครอว์ฟอร์ด (Crawford) ไม่ได้บอกอะไรเลยล่ะ"""
ssc_511020_0160#0,"""พวกเขา... ไม่ค่อยได้ติดต่อกันน่ะ"""
ssc_511020_0170#0,"""งั้นเหรอ..."""
ssc_511020_0180#0,"""บางทีเขาอาจจะคิดว่ามันน่าจะไวกว่า<br>ถ้าปล่อยให้พวกเธอมาเห็นด้วยตาตัวเองล่ะมั้ง"""
ssc_511020_0190#0,"""อ-อ้อ... เข้าใจล่ะ"""
ssc_511020_0200#0,"""ค่อนข้างแปลกใจเหมือนกันที่<br>จู่ๆ เขาก็ติดต่อมาตอนนั้นน่ะ..."""
ssc_511020_0210#0,"""ยังไงก็เถอะ น่าเสียดายที่พวกเรายังไม่ได้พยายาม<br>สำรวจสถานที่แห่งนี้ให้ละเอียดถี่ถ้วนมากนัก"""
ssc_511020_0220#0,"""สิ่งที่พวกเรารู้ก็คือ<br>ที่นี่เป็นโรงผลิตพลังงานน่ะ"""
ssc_511020_0230#0,"""ดูเหมือนว่ามันจะจ่ายพลังงานให้กับระบบหลักของศูนย์วิจัยแห่งนี้<br>พร้อมๆ กับสายการผลิต DOLLS ด้วย"""
ssc_511020_0240#0,"""พลังงานจากโรงผลิตพลังงานนี้ถูก<br>ส่งไปยังทุกพื้นที่ทั่วทั้งฮาลฟา (Halpha) เลยล่ะ"""
ssc_511020_0250#0,"""การทำลายสายการผลิตโดยไม่ระวัง<br>อาจจะส่งผลกระทบต่อระบบทั้งหมดได้น่ะ"""
ssc_511020_0260#0,"""...ก็ประมาณนี้แหละ"""
ssc_511020_0270#0,"""พวกเราจะทำการสำรวจต่อไป และเริ่ม<br>วิเคราะห์โครงสร้างของระบบ..."""
ssc_511020_0280#0,"""โดยหวังว่าจะสามารถค่อยๆ ปิดตัว<br>ศูนย์วิจัยแห่งนี้ลงทีละนิดๆ ล่ะนะ"""
ssc_511020_0290#0,"""อย่างน้อยนั่นก็คือแผนของพวกเราล่ะ"""
ssc_511020_0300#0,"""อีกไม่นานวิศวกรและนักวิจัยจากเอลิโอ (Aelio) ก็จะมาเยือนแล้ว<br>ในที่สุดพวกเราก็น่าจะสามารถสร้างความคืบหน้าที่แท้จริงได้เสียที"""
ssc_511020_0310#0,"""ตอนแรก พวกเราคิดว่าแค่<br>ทำลายฐานที่มั่นของ DOLLS ที่เจอไปเรื่อยๆ ก็น่าจะพอแล้ว"""
ssc_511020_0320#0,"""แต่ก็อย่างว่าแหละ เรื่องมันไม่เคยง่ายขนาดนั้นหรอก"""
ssc_511020_0330#0,"""นั่นก็เลยเป็นเหตุผลว่าทำไมถึงต้องใช้เวลาอีกสักหน่อยในการ<br>ยึดอำนาจการควบคุมสเตีย (Stia) อย่างสมบูรณ์ รวมถึงศูนย์วิจัยแห่งนี้ด้วย"""
ssc_511020_0340#0,"""จนกว่าจะถึงเวลาที่ภารกิจของพวกเราสำเร็จลุล่วง<br>จะรู้สึกซาบซึ้งใจมากเลยถ้าเธอคอยให้ความช่วยเหลืออยู่เรื่อยๆ น่ะ"""
ssc_511020_0350#0,"""ตั้งตารอที่จะได้ร่วมงานกับเธออีกนะ"""
