ssc_511010_0010#0,"""อ้า ออกมาข้างนอกนี่เหมือนกันเหรอ"""
ssc_511010_0020#0,"""ศัตรูส่วนใหญ่ถูกกำจัดไปแล้วล่ะ<br>แต่ก็อย่าเพิ่งชะล่าใจไปนะ"""
ssc_511010_0030#0,"""...ว่าแต่ พอจะมีเวลา<br>คุยกันสักหน่อยไหม?"""
ssc_511010_0040#0,"""ขอบคุณมากเลยนะ"""
ssc_511010_0050#0,"""คือว่า มีเรื่องอยากจะถามหน่อยน่ะ...<br>เรื่องของผู้บัญชาการเกลน (Guren) น่ะ"""
ssc_511010_0060#0,"""บอกมาตามตรงเลยนะ<br>คิดยังไงกับเขางั้นเหรอ?"""
ssc_511010_0070#0,"""เขาแข็งแกร่งนะ"""
ssc_511010_0080#0,"""เขาน่ากลัวน่ะ"""
ssc_511010_0090#0,"""หา? ก็นะ ใช่... เขาแข็งแกร่งจริงๆ นั่นแหละ<br>ยิ่งกว่า ARKS คนไหนๆ เลยล่ะ"""
ssc_511010_0100#0,"""ถึงแม้ว่านั่นจะไม่ค่อยใช่<br>คำตอบที่ตามหาอยู่เท่าไหร่ก็เถอะ..."""
ssc_511010_0110#0,"""...เขาก็ให้ความรู้สึก<br>แบบนั้นจริงๆ สินะ"""
ssc_511010_0120#0,"""ท่านผู้บัญชาการไม่ใช่คนช่างพูดเท่าไหร่นักน่ะ<br>ก็เลยมีเรื่องให้เข้าใจผิดกันอยู่บ่อยๆ"""
ssc_511010_0130#0,"""ยิ่งอยู่ภายใต้ความกดดัน<br>ตอนเตรียมพร้อมสำหรับกลยุทธ์ด้วยแล้วก็ยิ่งไปกันใหญ่"""
ssc_511010_0140#0,"""แต่ถึงอย่างนั้น เขาก็เป็นห่วง<br>ลูกน้องของเขาจากใจจริงเลยนะ"""
ssc_511010_0150#0,"""ตอนที่อยู่ในเขตศัตรู<br>เขาก็มักจะเป็นหน่วยทะลวงฟันเสมอ..."""
ssc_511010_0160#0,"""ตอนที่ต้องถอยทัพ<br>เขาก็จะเป็นคนสุดท้ายที่ถอยร่นเสมอ"""
ssc_511010_0170#0,"""เชื่อว่านั่นคงเป็นวิธีของเขาในการ<br>ทำให้เกิดความสูญเสียให้น้อยที่สุดล่ะมั้ง"""
ssc_511010_0180#0,"""เพราะนิสัยแบบนั้นแหละ<br>ลูกน้องถึงได้เชื่อใจเขามากขนาดนี้น่ะ"""
ssc_511010_0190#0,"""กล้าพูดได้เต็มปากเลยว่าพวกเราพร้อมเอาชีวิต<br>เข้าแลก เพราะรู้ว่าท่านผู้บัญชาการจะคอยคุ้มกันหลังให้พวกเราเสมอ"""
ssc_511010_0200#0,"""ถึงอย่างนั้น ก็มีบางครั้งที่<br>แอบหวังให้ท่านผู้บัญชาการทำตัว... เข้าถึงง่ายกว่านี้หน่อยล่ะนะ"""
ssc_511010_0210#0,"""โดยเฉพาะเรื่อง<br>ความประทับใจแรกพบน่ะ..."""
ssc_511010_0220#0,"""ก่อนหน้านี้ ได้ไปถามความประทับใจที่มีต่อท่านผู้บัญชาการ<br>จากสมาชิกหน่วยเสบียงเอลิโอ (Aelio Supply Corps) มาน่ะ"""
ssc_511010_0230#0,"""เธอบอกว่า 'รู้สึกเหมือนฉัน<br>จะต้องตายแน่ๆ ถ้าเผลอไปทำให้เขาหงุดหงิดเข้าน่ะ'"""
ssc_511010_0240#0,"""เธอพูดคุยเป็นกันเองกับคนอื่นหมดเลยนะ แต่กลับ<br>ดูเป็นทางการอย่างประหลาดเฉพาะตอนคุยกับท่านผู้บัญชาการเนี่ยแหละ..."""
ssc_511010_0250#0,"""ก็เลยคิดว่า<br>ต้องมีอะไรแปลกๆ แน่เลย..."""
ssc_511010_0260#0,"""ดีใจนะที่จัดการเรื่องนี้ได้<br>ก่อนที่มันจะบานปลายกลายเป็นเรื่องเข้าใจผิดที่ใหญ่กว่านี้"""
ssc_511010_0270#0,"""ฟังดูคุ้นๆ อยู่นะ"""
ssc_511010_0280#0,"""ไปได้ยินเรื่องนี้มาจากใครเหรอ?"""
ssc_511010_0290#0,"""เธอชื่อซิทเทร (Xitrae) น่ะ"""
ssc_511010_0300#0,"""ผู้หญิงที่ชื่อซิทเทร (Xitrae) น่ะ"""
ssc_511010_0310#0,"""ถ้าคุ้นเคยกับเธอ ก็ช่วยอธิบาย<br>ให้เธอเข้าใจหน่อยนะถ้าได้เจอกันคราวหน้าน่ะ"""
ssc_511010_0320#0,"""ท่านผู้บัญชาการไม่ได้น่ากลัวหรอกนะ เขาแค่เป็นคนเงียบๆ<br>ที่ไม่ค่อยถนัดเรื่องการแสดงอารมณ์ความรู้สึกก็เท่านั้นเอง"""
ssc_511010_0330#0,"""เธอเป็นหนึ่งใน ARKS ไม่กี่คน<br>ที่ท่านผู้บัญชาการยอมรับอย่างเปิดเผยเลยนะ"""
ssc_511010_0340#0,"""อยากจะคุยกับ<br>เธอเป็นการส่วนตัวให้บ่อยกว่านี้นะ"""
ssc_511010_0350#0,"""ยินดีที่ได้คุยด้วยนะ"""
