ssc_505010_0010#0,"""อ๊ะ? นั่น <%me> หรือเปล่าคะ?"""
ssc_505010_0020#0,"""รู้สึกแปลกๆ นะคะที่ได้เจอ<br>ข้างนอกห้องบัญชาการ (Command Room) แบบนี้น่ะค่ะ"""
ssc_505010_0030#0,"""กำลังทำอะไรอยู่เหรอคะ?"""
ssc_505010_0040#0,"""กำลังทำภารกิจอยู่หรือเปล่าคะ?"""
ssc_505010_0050#0,"""แค่ออกมาเดินเล่นน่ะค่ะ เพิ่งจะดูแลภารกิจเสร็จพอดีเลยค่ะ"""
ssc_505010_0060#0,"""ตรงกันข้ามเลยค่ะ เพิ่งจะดูแลภารกิจเสร็จพอดี ตอนนี้กำลังพักเบรกอยู่น่ะค่ะ"""
ssc_505010_0070#0,"""ท่านครอว์ฟอร์ด (Crawford) บอกให้พักผ่อนบ้างเมื่อมีโอกาส<br>จะได้ไม่หักโหมจนเกินไปน่ะค่ะ"""
ssc_505010_0080#0,"""แต่ถึงอย่างนั้น คนที่ควรจะ<br>ได้พักผ่อนมากที่สุดก็คือท่านครอว์ฟอร์ด (Crawford) นั่นแหละค่ะ"""
ssc_505010_0090#0,"""นอกจากจะต้องเป็นผู้บัญชาการรบแล้ว เขายังต้องคอยดูแลเซ็นทรัลซิตี้ (Central City) ด้วยนะคะ"""
ssc_505010_0100#0,"""ยังเห็นเขาคอยให้คำปรึกษากับสมาชิก ARKS ด้วยตัวเองบ่อยๆ เลยค่ะถ้ามีโอกาส"""
ssc_505010_0110#0,"""ทำให้สงสัยเลยนะคะว่าเขาเอาเวลาที่ไหนไปนอน แต่เขาก็ไม่เคยดูเหนื่อยเลยสักนิดค่ะ"""
ssc_505010_0120#0,"""เขาสุดยอดไปเลยนะคะ"""
ssc_505010_0130#0,"""เขาเท่มากๆ เลยนะคะ"""
ssc_505010_0140#0,"""ใช่แล้วล่ะค่ะ เขาเป็นผู้นำที่พึ่งพาได้จริงๆ ค่ะ"""
ssc_505010_0150#0,"""ถึงแม้ว่ามองเผินๆ เขาจะดูเหมือน<br>พี่ชายที่ไม่ค่อยเอาไหนก็เถอะค่ะ ฮี่ฮี่ฮี่"""
ssc_505010_0160#0,"""ดูเหมือนว่าเขาจะเป็นที่นิยมมากๆ<br>ในหมู่ ARKS บางกลุ่มด้วยนะคะ"""
ssc_505010_0170#0,"""แต่ไม่คิดว่าเขาจะชอบ<br>การถูกจับตามองแบบนั้นสักเท่าไหร่หรอกค่ะ ฮี่ฮี่ฮี่"""
ssc_505010_0180#0,"""พูดตามตรงนะคะ ตอนที่<br>เริ่มทำงานเป็นโอเปอเรเตอร์ (Operator) แรกๆ ประหม่ามากเลยล่ะค่ะ"""
ssc_505010_0190#0,"""แค่คิดว่าชีวิตของผู้คน<br>ขึ้นอยู่กับการที่ฉันต้องไม่ทำอะไรผิดพลาด..."""
ssc_505010_0200#0,"""แต่ในตอนนั้น ท่านครอว์ฟอร์ด (Crawford) ก็จะมองมาด้วยรอยยิ้มค่ะ"""
ssc_505010_0210#0,"""เขาพูดว่า 'ถ้าดูเหมือนว่าเธอกำลังจะทำพลาด<br>ฉันจะคอยสนับสนุนเธอในทุกๆ ก้าวเองนะ'"""
ssc_505010_0220#0,"""และ 'มีโอเปอเรเตอร์ (Operator) คนอื่นๆ คอยอยู่เคียงข้างเธอด้วยนะ เธอไม่มีอะไรต้องกังวลหรอก'"""
ssc_505010_0230#0,"""หลังจากนั้น ก็เริ่มมีความมั่นใจขึ้นมานิดหน่อย และ<br>สามารถเข้าไปพูดคุยกับรอสซ่า (Rossa) และคนอื่นๆ ได้อย่างเต็มที่เลยล่ะค่ะ"""
ssc_505010_0240#0,"""ไม่ทันรู้ตัวเลยค่ะว่าตัวเองต้องการ<br>ได้ยินคำพูดเหล่านั้นมากแค่ไหน มันช่วยได้มากจริงๆ ค่ะ"""
ssc_505010_0250#0,"""...อ๊ะ ขอโทษด้วยนะคะ<br>ที่มัวแต่พูดอะไรไปเรื่อยเปื่อย"""
ssc_505010_0260#0,"""คงต้องขอตัวกลับไปทำงานก่อนนะคะ..."""
ssc_505010_0270#0,"""...อ้อ แล้วก็ช่วยเก็บเรื่องที่คุยกันวันนี้<br>เป็นความลับไม่ให้ท่านครอว์ฟอร์ด (Crawford) รู้ด้วยนะคะ ตกลงไหมคะ?"""
ssc_505010_0280#0,"""ขอให้โชคดีกับภารกิจนะคะ <%me>"""
ssc_505010_0290#0,"""และก็ ถ้าไปพบท่านครอว์ฟอร์ด (Crawford) คราวหน้า จะดีใจมากเลยค่ะ<br>ถ้าช่วยไปบอกเขาว่า 'หักโหมเกินไปแล้วนะคะ!' น่ะค่ะ"""
ssc_505010_0300#0,"""ไปก่อนนะคะ"""
