ssc_505030_0010#0,"""อ๊ะ <%me> มาได้จังหวะพอดีเลยค่ะ!"""
ssc_505030_0020#0,"""เพิ่งจะคิดอยู่เลยว่าจะทำ<br>รายงานเกี่ยวกับภูมิภาคสเตีย (Stia) น่ะค่ะ"""
ssc_505030_0030#0,"""อยากจะฟังเรื่องนั้นสักหน่อยไหมคะ?"""
ssc_505030_0040#0,"""แน่นอนเลย"""
ssc_505030_0050#0,"""ภูมิภาคสเตีย (Stia) งั้นเหรอ?"""
ssc_505030_0060#0,"""เข้าใจแล้วค่ะ<br>งั้นจะเริ่มเลยนะคะ"""
ssc_505030_0070#0,"""สเตีย (Stia) เป็นภูมิภาคที่สี่ของฮาลฟา (Halpha) ถัดจากเอลิโอ (Aelio) รีเทม (Retem) และควาริส (Kvaris) ค่ะ"""
ssc_505030_0080#0,"""ภูมิภาคสเตีย (Stia) เป็นเกาะภูเขาไฟขนาดยักษ์<br>ที่อยู่เลยทะเลสาบฮาลฟิเรีย (Halphiria Lake) ออกไปน่ะค่ะ"""
ssc_505030_0090#0,"""พวกเราได้จัดตั้งหน่วยกองกำลังแนวหน้า (Vanguard Unit)<br>ขึ้นในสเตีย (Stia) เช่นเดียวกับที่ควาริส (Kvaris) ค่ะ"""
ssc_505030_0100#0,"""ถึงแม้ว่าพวกเขาจะรุกคืบเข้าไปในภูมิภาคนั้น<br>มาหลายปีแล้ว แต่ก็ยังไม่มีความคืบหน้าอะไรมากนักค่ะ"""
ssc_505030_0110#0,"""มีปัญหาอยู่สามอย่างค่ะ..."""
ssc_505030_0120#0,"""อย่างแรกก็คือ<br>สภาพภูมิประเทศที่ซับซ้อนอย่างร้ายกาจค่ะ"""
ssc_505030_0130#0,"""อย่างที่สองคือการปรากฏตัวของ<br>DOLLS ที่ทรงพลังเป็นจำนวนมากค่ะ"""
ssc_505030_0140#0,"""อย่างที่สามคือการขาดความร่วมมือที่เหมาะสม<br>ระหว่างเซ็นทรัลซิตี้ (Central City) และหน่วยกองกำลังแนวหน้า (Vanguard Unit) ค่ะ"""
ssc_505030_0150#0,"""...มีการค้นพบโรงผลิตพลังงาน (Energy Plant) และศูนย์วิจัยอื่นๆ ที่คล้ายคลึงกัน<br>อยู่ภายในชั้นต่างๆ อันสลับซับซ้อนของสเตีย (Stia) ค่ะ"""
ssc_505030_0160#0,"""ดูเหมือนว่าศูนย์วิจัยแห่งหนึ่งในนั้น<br>จะกำลังทำหน้าที่ผลิต DOLLS อยู่ด้วยค่ะ"""
ssc_505030_0170#0,"""ผลิต... DOLLS งั้นเหรอ?"""
ssc_505030_0180#0,"""ใครเป็นคนผลิต DOLLS ขึ้นมาล่ะ?"""
ssc_505030_0190#0,"""ใช่แล้วค่ะ..."""
ssc_505030_0200#0,"""อืมมม..."""
ssc_505030_0210#0,"""รายละเอียดน่าจะอยู่ในรายงานของกองกำลังแนวหน้า (Vanguard Unit)<br>แต่การติดต่อสื่อสารก็ล่าช้ามากเลยค่ะ..."""
