Title#0,"""T: Руководители творения"""
Explanation#0,"""Обнаружены необычные сигналы эфира,<br>указывающие на появление гигантских<br>фантомов на Луне и Земле. Всем ARKS,<br>немедленно отправляйтесь и уничтожьте<br>цели, чтобы восстановить мир.<br>――――――――――――――――――――<br>Можно пройти: $(0) раз(а)<br>Макс. урон: 999999<br>Провал: Не успеть в срок, провал задачи"""
SimpleExplanation#0,"""Одолейте врагов вовремя!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
a5#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
NpcComMsg1#0,"""Сейчас вас телепортируют.<br>Ваша первая цель - уничтожить<br>гигантского фантома,<br>появившегося на Луне."""
NpcComMsg2#0,"""Будьте готовы тут же<br>уничтожить цель!<br>И, пожалуйста, будьте осторожны!"""
NpcComMsg1#1,"""Сейчас вас переместят к месту<br>гигантского сигнала, внезапно<br>появившегося на Земле."""
NpcComMsg2#1,"""Это будет тяжёлый бой, но<br>я уверенна, что работая<br>слаженно, вы сможете победить!<br>И, пожалуйста, будьте осторожны!"""
Area0S#0,"""Поверхность Луны"""
Area0L#0,"""Спутник - Луна: Поверхность Луны"""
Area1S#0,"""Фантомный столб"""
Area1L#0,"""Спутник - Луна: Фантомный столб"""
Area2S#0,"""Иггдрасиль"""
Area2L#0,"""Планета Земля: Иггдрасиль"""
Area3S#0,"""Верхушка Иггдрасиля"""
Area3L#0,"""Планета Земля: Верхушка Иггдрасиля"""
Area1S#1,"""Поверхность Луны"""
Area1L#1,"""Спутник - Луна: Поверхность Луны"""
Area3S#1,"""Остров Пасхи"""
Area3L#1,"""Планета Земля: Остров Пасхи"""
QuestInfoPlanetName#0,"""Спутник - Луна"""
