name_7654#0,"""Communa"""
ssn_015140_0001#0,"""ยู้ฮู! หาเพื่อน ARKS ได้บ้างหรือยัง?"""
ssn_015140_0002#0,"""มีวิธีสื่อสารอยู่หลายแบบเลยนะ เดี๋ยวฉันจะสอนให้หมดเลยจ้ะ ที่รัก"""
npc_menu_0001#0,"""รับ Tasks"""
npc_menu_0002#0,"""ถามเกี่ยวกับการสื่อสาร"""
npc_menu_0003#0,"""ปิดเมนู"""
ssn_015140_0101#0,"""ยู้ฮู! มาได้จังหวะพอดีเลยจ้ะ ที่รัก ฉันมีเรื่องสองสามเรื่องที่อยากจะคุยด้วยหน่อยน่ะ"""
ssn_015140_0102#0,"""เริ่มคุ้นเคยกับการสื่อสารกับเพื่อนร่วมทีมหรือยัง?"""
ssn_015140_0103#0,"""ถ้าต้องการ ฉันสอนเทคนิคเล็กๆ น้อยๆ ให้เพื่อเป็นจุดเริ่มต้นได้นะ"""
ssn_015140_0201#0,"""ฉันคิดว่าส่วนที่สำคัญที่สุดของการสื่อสารก็คือเรื่องพื้นฐานที่สุดนั่นแหละ อย่างการพูดสวัสดีกับขอบคุณไงล่ะ ใช่แล้ว"""
ssn_015140_0202#0,"""ถ้าไม่มีพวกนี้ก็คุยกันไม่ได้หรอก จริงไหมล่ะ?"""
ssn_015140_0203#0,"""เอาล่ะ ไม่ต้องอายหรอก ลองทักทายมาแบบเจ๋งๆ ให้ดูหน่อยสิ!"""
ssn_015140_0301#0,"""โธ่ เอาเถอะ ถ้าอยากคุยเมื่อไหร่ก็กลับมานะ รู้ใช่ไหมว่าฉันอยู่ที่ไหน!"""
ssn_015140_0401#0,"""ใช่เลย เธอมีพรสวรรค์นะเนี่ย ที่รัก!"""
ssn_015140_0402#0,"""การสื่อสารกับเพื่อนร่วมทีมแบบนี้จะช่วยได้มากเลย เพราะงั้นใช้ให้เป็นประโยชน์นะ!"""
ssn_015140_0501#0,"""ยู้ฮู! หาเพื่อน ARKS ได้บ้างหรือยัง?"""
ssn_015140_0502#0,"""มีวิธีสื่อสารอยู่หลายแบบเลยนะ เดี๋ยวฉันจะสอนให้หมดเลยจ้ะ ที่รัก"""
76540102_1#0,"""เกี่ยวกับ Stamps"""
76540102_2#0,"""เกี่ยวกับ Chat"""
76540102_3#0,"""เกี่ยวกับ Lobby Actions"""
76540102_4#0,"""เกี่ยวกับ Motion Changes"""
76540102_5#0,"""เกี่ยวกับ Shortcut Words"""
76540102_6#0,"""เกี่ยวกับ Autowords"""
76540102_7#0,"""เกี่ยวกับ Group Chat"""
76540102_8#0,"""เกี่ยวกับ Symbol Art"""
76540102_9#0,"""ช่างเถอะ"""
