11_voice_NPC_5018_101#0,"""Hey, it's you. You came at just the right time."""
Chroto_favs_before_020#0,"""This is a gift for you. You want it?"""
Chroto_favs_after_010#0,"""It's just my little way of thanking you for all the stuff you do. Don't feel you have to return the favor."""
Chroto_favs_after_020#0,"""You can bet I'll have more for you to do in the future."""
Chroto_favs_after_030#0,"""See you around."""
Chroto_favs_present_010#0,"""Received <yellow>Synthesizer<c> from Klotho."""
Chroto_favs_present_020#0,"""Received <yellow>Aerial Shooting<c> from Klotho."""
Chroto_favs_present_030#0,"""Received <yellow>Satellite Aim<c> from Klotho."""
Chroto_favs_present_040#0,"""Received <yellow>Synthesizer<c> from Klotho."""
Chroto_favs_present_050#0,"""Received <yellow>Bullet Squall<c> from Klotho."""
Chroto_favs_present_060#0,"""Received <yellow>Messiah Time<c> from Klotho."""
Chroto_favs_present_070#0,"""Received <yellow>Synthesizer<c> from Klotho."""
Chroto_favs_present_080#0,"""Received <yellow>Infinite Fire<c> from Klotho."""
Chroto_favs_present_090#0,"""Received <yellow>Elder Rebellion<c> from Klotho."""
Chroto_favs_present_100#0,"""Received <yellow>Synthesizer<c> from Klotho."""
Chroto_favs_present_add_001#0,"""Received <yellow><%skit_text><c> from Klotho."""
Alice_01_10#0,"""ダーカー以外との戦いについて<br>どう思うか、ねぇ。<br>そりゃまた、面白い質問だなあ。"""
Alice_01_20#0,"""じゃあ逆に、私たちアークスが<br>戦わなかったら、って考えてみたら<br>どうかな？"""
Alice_01_30#0,"""次から次へとダーカーの侵食被害が<br>広がっていって、さあ大変。<br>しかも、誰も止められない。"""
Alice_01_40#0,"""……わかるかな？<br>放っておく訳にはいかないんだよ。"""
Alice_01_50#0,"""少しでも放っておいたら<br>取り返しのつかないことになる。"""
Alice_01_60#0,"""アークスは、戦いをやめてはならない。<br>誰に恨まれようとも、ね。"""
Alice_01_70#0,"""それに、ダーカーに完全に侵食されて<br>狂った生物は、その意志を失い<br>死んだも同然の状態になる。"""
Alice_01_80#0,"""生ける屍のようなそんな状態から<br>救ってあげるのもまた、アークスの<br>責務であり、優しさなんじゃないかな。"""
Alice_01_90#0,"""侵食があまり進んでいなければ<br>救うことだって出来るはずだ。"""
Alice_01_100#0,"""なーんて、実際そうとでも思わないと<br>やり切れないよねぇ。とくに演習任務や<br>彼らの身体の一部を奪うときなんかさ。"""
11_voice_NPC_5018_104#0,"""やあやあ、お兄さんに<br>何か用かな？"""
Kirara_01_20#0,"""え？\u3000一緒にパーティーを組みたいって？<br>んー、申し訳ないけど……<br>私も、結構忙しい身でねぇ。"""
11_voice_NPC_5018_100#0,"""それに、そういう頼みごとは<br>やっぱり君にぴったりじゃないかな？"""
Kirara_01_40#0,"""他の人の色よい返事を<br>お兄さんからも祈っとくよー。"""
11_voice_NPC_5018_100#1,"""やー、私に何か用かい？<br>サンタクロース？<br>もちろん知っているよー。"""
Paty_01_20#0,"""クリスマスの夜に<br>世界中の良い子たちにプレゼントを<br>配って回るというご老人だよね。"""
Paty_01_30#0,"""どこにいるのか？<br>さすがにそれは知らないけど<br>よほど裕福な人だろうね。"""
Paty_01_40#0,"""どうやって資金を調達してるのか？<br>一晩で配るってタイムアタックの達人？<br>私としても気になるところだねー。"""
Paty_01_50#0,"""力になれなくてごめんねー。<br>もし、そのサンタクロースを見つけたら<br>私にも教えてもらいたいね。"""
