text00#0,"""Что ты хочешь узнать?"""
text10#0,"""О сражении саммонеров"""
text20#0,"""О возвышении саммонеров"""
text30#0,"""О характеристиках питомцев"""
text50#0,"""Уйти"""
text11#0,"""Как призвать питомцев"""
text12#0,"""Питомец получил урон"""
text13#0,"""Питомец нокаутирован"""
text14#0,"""Назад"""
text21#0,"""Подняте уровня питомцу"""
text22#0,"""Увеличение редкости питомца"""
text23#0,"""Достижение питомцем предела 100 уровня"""
text24#0,"""Что есть \""Коробка сладостей\"""""
text25#0,"""Что лучше всего использовать питомцам"""
text26#0,"""Занятое место в коробке"""
text27#0,"""Что для коробки можно использовать"""
text28#0,"""Компрессия сладостей"""
text29#0,"""Ограничение атрибута питомца"""
text31#0,"""Личности питомцев"""
text32#0,"""Особенности Марона/Мелона"""
text33#0,"""Особенности Виолы"""
text34#0,"""Особенности Синхро"""
text35#0,"""Эволюция формы питомца"""
text36#0,"""Особенности Редрана"""
Title#0,"""Как призвать питомцев"""
text01#0,"""・Регистрация питомца.<br>Можно зарегистрировать нового питомца с помощью<br><yellow>яйца<c> в качестве предмета.<br><br>・Чтобы иметь возможность вызвать выбранного питомца<br>в палитру оружия, выберите такт в меню снаряжения<br>согласно следующему порядку:<br><br><yellow>・Выберите желаемого питомца (выбирается из списка).<c><br>・Установите Фотон Арты для питомца.<br>Mag автоматически скрывается при использовании<br>питомца, но все эффекты Mag'a остаются активными."""
Title#1,"""Подняте уровня питомцу"""
text01#1,"""Ваши питомцы могут расти (повышать уровень),<br>используя меню \""Синт. яйца\"", чтобы получить<br>опыт от оставшихся яиц.<br><br>Кроме того, во время синтеза яйца, имеющееся<br>\""положительное значение\"" яйца также увеличивают<br>увеличивают характеристики вашего питомца.<br>Все типы питомцев имеют разный верхний предел<br>\""бонусных характеристик\"".<br><br>В отличие от игроков, питомцы не могут,<br>побеждая врагов, самостоятельно зарабатывать<br>опыт."""
text02#0,"""<yellow>\""Синтез яйца\"" можно выполнить последовательно<br>5 раз под ряд.<c><br>Когда вы достигните установленного предела,<br>некоторое время функция синтеза яйца будет<br>не доступна.<br><br>Постепенно заряды синтеза будут<br>восстанавливаться. Если не хотите ждать,<br>можно быстро восстановить заряды с помощью SG.<br><br>При восстановлении с помощью SG, ваш следующий<br>синтез яиц даст бонусный опыт."""
Title#2,"""Что есть \""Коробка сладостей\"""""
