11_voice_NPC_5242_101#0,"""Ах, друг мой, ты вовремя!"""
favs_before_020#0,"""У меня есть для тебя подарок,<br>друг мой! Пожалуйста, прими<br>его с моим благословением!"""
favs_after_010#0,"""Нет-нет, не стоит<br>благодарностей! Напротив, это<br>мне стоит тебя благодарить!"""
favs_after_020#0,"""Сколько времени прошло, друг<br>мой! Желаю нам обоим долгой<br>и плодотворной жизни саммонеров!"""
egg_present_010#0,"""Спасибо, что пришёл, друг мой!<br>Не будет преувеличением сказать,<br>что именно этот момент - начало<br>твоей жизни в качестве<br>саммонера!"""
egg_present_020#0,"""Я дам тебе подарок, чтобы начать<br>путь как саммонер!<br>Бери, я настаиваю!"""
egg_present_030#0,"""Из этого яйца родится твоё<br>любимое дитя! Остальное - проще<br>простого: всё что тебе нужно,<br>одарить его любовью!"""
egg_present_040#0,"""Надеюсь, что тебе понравится<br>жизнь саммонера! Ах, какие же<br>вы милые, детишки мои..."""
skit_item_present_5242_000#0,"""Получено <yellow><%skit_text><c> от Пьетро."""
skit_item_present_5242_000_01#0,"""Получено <yellow><%skit_text><c> от Пьетро."""
skit_item_present_5242_010#0,"""Получено <yellow><%skit_text><c> от Пьетро."""
skit_item_present_5242_020#0,"""Получено <yellow><%skit_text><c> от Пьетро."""
skit_item_present_5242_030#0,"""Получено <yellow><%skit_text><c> от Пьетро."""
skit_item_present_5242_040#0,"""Получено <yellow><%skit_text><c> от Пьетро."""
skit_item_present_5242_050#0,"""Получено <yellow><%skit_text><c> от Пьетро."""
skit_item_present_5242_060#0,"""Получено <yellow><%skit_text><c> от Пьетро."""
skit_item_present_5242_070#0,"""Получено <yellow><%skit_text><c> от Пьетро."""
skit_item_present_5242_080#0,"""Получено <yellow><%skit_text><c> от Пьетро."""
skit_item_present_5242_090#0,"""Получено <yellow><%skit_text><c> от Пьетро."""
skit_item_present_5242_100#0,"""Получено <yellow><%skit_text><c> от Пьетро."""
favs_present_add_001#0,"""Получено <yellow><%skit_text><c> от Пьетро."""
11_voice_NPC_5242_100#0,"""Да ведь это мой друг!<br>Что тебя беспокоит?<br>Пожалуйста, не стесняйся<br>спрашивать меня о чём<br>угодно!"""
sierra_020#0,"""...Хмм, а в последнее время я<br>что-то делал кроме моих детишек?<br>Те, что похожи на девушке в<br>хэллоуинских костюмах?"""
11_voice_NPC_5242_104#0,"""Ах, к сожалению, это был не я.<br>Я даже не могу уговорить своих<br>любимых детей воплотить моё<br>виденье."""
sierra_040#0,"""Однако, если говорить с точки<br>зрения опыта, этому ребёнку<br>понадобится любовь, как и моим<br>любимым детям."""
sierra_050#0,"""Должно быть так одиноко быть<br>одиночкой внезапно выброшенным<br>в этот мир, когда даже не знаешь<br>где лево и право. Покажи им свою<br>любовь, в которой они нуждаются,<br>друг мой!"""
11_voice_NPC_5242_100#1,"""Ах, не говори ни слова, я знаю,<br>что ты пришёл(ла) ко мне, потому<br>что хочешь стать саммонером!<br>Спасибо, что проявил(ла) ко мне<br>интерес!"""
skit01_02#0,"""Что ж, я расскажу тебе<br>связанное с саммонером!"""
11_voice_NPC_5242_100#2,"""Ах, спасибо тебе за проявленны<br>интерес! Ты слышал(а) о новом<br>классе саммонер?"""
skit02_02#0,"""Нет-нет, я не мог ожидать<br>подобного. Я расскажу тебе о<br>чудесах жизни саммонера.<br>В конце концов, именно поэтому<br>я и позвал тебя."""
skit02_03#0,"""А теперь, позволь мне подробно<br>объяснить тебе о саммонерах!"""
skit03_01#0,"""Далее я расскажу тебе о<br>питомцах - тех милых малышах,<br>которые сражаются на твоей<br>стороне!"""
11_voice_NPC_5242_101#1,"""Вот основы, о которых должны<br>знать саммонеры."""
skit04_02#0,"""В честь начала пути саммонера<br>я дарю тебе этот подарок!<br>Бери, я настаиваю!"""
skit04_03#0,"""Из этого яца родится твоё<br>любимое дитя! Остальное же<br>проще простого! Всё, что тебе<br>нужно, это одарить его<br>своей любовью!"""
skit04_04#0,"""Что ж, наслаждайся своей новой<br>жизнью в качестве саммонера!<br>Если возникнут вопросы, то ты<br>всегда можешь пройти ко мне<br>в любое время!"""
Title#0,"""Саммонеры"""
text01#0,"""Саммонер - класс, который использует \""такт\""<br>в качестве оружия и командует \""питомцами\""<br>в бою с врагами.<br><br>Они также могут использовать техники и<br>помогать своим питомцам в бою.<br><br>Их способность атаковать на дальних дистанциях,<br>что снижает риск во время боя."""
Title#1,"""Питомцы"""
text01#1,"""Способности и Фотон Арты питомцев можно<br>усилить с помощью синтеза яиц или экипировке<br>сладостей.<br><br>Опытный саммонер заранее подготовит несколько<br>питомцев и будет менять их во время боя,<br>чтобы повысить эффективность."""
text02#0,"""・Регистрация питомца.<br>Можно зарегистрировать нового питомца с помощью<br><yellow>яйца<c> в качестве предмета.<br><br>・Чтобы иметь возможность вызвать выбранного питомца<br>в палитру оружия, выберите такт в меню снаряжения<br>согласно следующему порядку:<br><br><yellow>・Выберите желаемого питомца (выбирается из списка).<c><br>・Установите Фотон Арты для питомца.<br>Mag автоматически скрывается при использовании<br>питомца, но все эффекты Mag'a остаются активными."""
11_voice_NPC_5242_100#3,"""あぁ……なんて美しいんだ<br>僕の愛しい子供達……<br>君達以外、僕には何も見えないよ……"""
st01_020#0,"""過剰なスキンシップもまた、愛らしい。<br>僕に刻まれた生傷は、愛情の証なのさ。"""
11_voice_NPC_5242_100#4,"""子供達を抱く幸せ……<br>それがサモナーというクラスだよ！"""
st01_020#1,"""愛しい子供達と一緒に戦える喜び<br>ぜひ、体験してみて欲しいんだ！"""
11_voice_NPC_5242_100#5,"""子供達にはそれぞれ、ちゃーんと<br>特徴があるんだよ。<br>打撃向きや、法撃向きなど様々さ。"""
st01_020#2,"""どの子が一番……なんてことはない！<br>皆、等しく美しくて、愛しいんだよ。"""
11_voice_NPC_5242_100#6,"""サモナーのタクトを武器と思ってる<br>無粋なアークスもいるようだけど<br>それは違うんだよ。"""
st01_020#3,"""タクトというのは<br>子供達とサモナーを結ぶ手段の一つで<br>連絡を取るためのものなんだ。"""
st01_030#0,"""戦闘中でも濃密なコミュニケーションを<br>取れるように設計されてるんだよ。"""
11_voice_NPC_5242_100#7,"""僕の子供達は僕のことを<br>愛してやまないのさ！"""
st01_020#4,"""どんな行動をとっても<br>僕は全力で受け止めてるからね！"""
st01_010#0,"""子供達は道具ではない。<br>思ってもいなかった行動を<br>とってしまうこともある。"""
st01_020#5,"""だけど、予想を越えたことを<br>してくれることだって、あるんだ。"""
st01_030#1,"""僕の知らない、僕の子供達の姿。<br>それが見られる喜びは<br>何ものにも代えがたいものさ。"""
11_voice_NPC_5242_102#0,"""具現武装というのは、地球人にとっての<br>子供達みたいなものだろう！<br>それを折るなんてとんでもない！"""
st01_020#6,"""とってもとってもとーっても<br>痛くて苦しいはずだよ！<br>本人も、その子供達もね！"""
11_voice_NPC_5242_100#8,"""痛みや辛さ、苦しさを越えた先に<br>新たな力、新たな輝きがある！<br>具現武装も、同じなんだね！"""
st01_020#7,"""もちろん、サモナーも同じだよ！<br>だから僕は、愛する子供達の<br>痛みや辛さを受け止めているのさ！"""
11_voice_NPC_5242_108#0,"""アースガイドの指導者……<br>彼は悲しい存在だね。<br>自分の友を、信じられなかったんだ。"""
st01_020#8,"""無償の愛と、それを見守り続ける<br>勇気さえあれば、大概のことは<br>なんとかなるというのに……"""
st01_030#2,"""そう、僕の愛する子供達と<br>僕自身のように！<br>わかるよね、マイフレンド！"""
11_voice_NPC_5242_100#9,"""マイフレンド！\u3000君にはずーっと<br>お世話になってきたからね！<br>僕と僕の子達も精一杯協力するよ！"""
11_voice_NPC_5242_101#2,"""あぁ、マイフレンド！\u3000おかえり！<br>僕の子達も喜んでいるよ！"""
sq01_020#0,"""というかマイフレンドがいないときは<br>彼らも寂しかったのか愛情表現が<br>苛烈でね！\u3000ほんと、無事でよかった！"""
sq02_010#0,"""やぁ、マイフレンド！<br>皆とは違い、なんだか忙しそうだね！"""
11_voice_NPC_5242_100#10,"""僕の子達も君のことを心配しているよ！<br>何をしているかは秘密だろうけど<br>あまり無理はしないように！"""
11_voice_NPC_5242_100#11,"""やあマイフレンド！<br>大変なことになっているね！"""
sq13_020#0,"""復讐、とは穏やかじゃない台詞だよ！<br>そんな心持ちで、いったい何を<br>幸せにできるというのか！"""
sq13_030#0,"""自分が苦しんだ分、他者には幸せを<br>振りまいてこそ、だというのに……<br>僕の子達も嘆いているよ！"""
11_voice_NPC_5242_102#1,"""Это угроза неизвестности<br>тревожит... Эта тревога<br>затуманивает разумы людей и<br>наполняет их сердца печалью!"""
ep6_sq00_02#0,"""Даже в это время ты крут(а),<br>как перец, друг мой! Да тут<br>просто нечем тебя напугать!<br>Ах, если бы я только мог видеть<br>то, что видишь ты."""
ep6_sq00_03#0,"""Я не хочу чтобы мои детишки<br>волновались, поэтому дарю им<br>даже больше любви, чем обычно!"""
ep6_sq01_01#0,"""Ах, я рад, что ты в целости<br>и сохранности даже после<br>случившегося, друг мой!..<br>Мои любимые дети плакали,<br>они так волновались!"""
ep6_sq01_02#0,"""Сколько бы они в гневе<br>не разрушали, наши враги<br>никогда не удовлетворятся..."""
11_voice_NPC_5242_108#1,"""...Если бы только любовь,<br>которую я испытываю к своим<br>детям, была разрешена во<br>время фотонёров, наверное<br>всё могло бы сложиться<br>иначе."""
11_voice_NPC_5242_100#12,"""Мы были в безвыходном положении,<br>но твой успех вернул улыбки на<br>лица моих любимых детей!"""
ep6_sq02_02#0,"""Спасибо тебе, друг мой!<br>Беспокойство за детей моих спать<br>мне не давало по ночам. Теперь<br>я могу быть за них спокоен!"""
11_voice_NPC_5242_100#13,"""Привет, друг мой!<br>Кажется, что эти напряжённые<br>времена никогда не закончатся!"""
ep6_sq02_01_02#0,"""Никаких притензий!<br>Я могу наблюдать, как мои<br>любимые дети с таким энтузиазмом<br>выполняют свои задачи!"""
ep6_sq02_01_03#0,"""Просто наблюдая, как мои дети<br>усердно работают, я могу<br>расслабиться. Ты чувствуешь<br>то же самое, разве я не прав?"""
ep6_sq04_01_01#0,"""Ах, дети мои любимые!<br>Каждый из них наполнен<br>моей личностью!"""
ep6_sq04_01_02#0,"""Для меня возможность наблюдать,<br>как мои дети растут, - это<br>незаменимое сокровище!"""
11_voice_NPC_5242_101#3,"""Чтобы защитить это скоровище...<br>Я потрачу каждую минуту,<br>секунду, что смогу, и потрачу<br>всё на то, чтобы подарить как<br>можно больше любви своим детям!"""
text01#2,"""いよいよ最終局面という感じだね！<br>あともうひと頑張りだよ！"""
11_voice_NPC_5242_100#14,"""ここにきて、子供達も顔つきが<br>凜々しくなってるんだ。<br>覚悟が決まってるようで、頼もしいよ！"""
text03#0,"""さあ、みんなで愛に満ちた平和な世界を<br>手に入れようじゃないか！"""
text01#3,"""マイフレンド、無事に帰ってきたね！<br>僕の子供達も喜んでいるよ！"""
text02#1,"""悲しみの連鎖が断たれた今<br>皆も一層、愛情を与え合うことの<br>大切さに気づくだろう！"""
11_voice_NPC_5242_101#4,"""たくさんの苦しさや辛さを超えて<br>ついに訪れた平和……僕はこれからも<br>毎日毎分毎秒、子供達に愛を注ぐよ！"""
