name_7656#0,"""Segreto"""
ssn_013030_0001#0,"""Saludos... Es un placer conocerte."""
ssn_013030_0002#0,"""Y estoy deseando trabajar con usted..."""
ssn_013030_0101#0,"""¿Sabes... sobre los potenciales de las armas?"""
ssn_013030_0102#0,"""Si quieres saber... puedo enseñarte."""
ssn_013030_0201#0,"""Okay then. Por favor, hazme saber... si cambias de opinión."""
ssn_013030_0301#0,"""Las armas tienen... una habilidad oculta."""
ssn_013030_0302#0,"""Puedes mejorar un arma... utilizando materiales catalíticos.<br>Cuando un arma está lo suficientemente mejorada... su Potencial... puede ser desbloqueado."""
ssn_013030_0303#0,"""Sin embargo... para desbloquearlas... necesitas... Minerales fotónicos especiales."""
ssn_013030_0304#0,"""Esta vez, te daré uno... Por favor, llévalo... al Laboratorio de Objetos."""
ssn_013030_0401#0,"""Entonces, ¿qué se siente... al haber desbloqueado un Potencial?"""
ssn_013030_0402#0,"""Un arma recién encontrada... y un Mineral como catalizador..."""
ssn_013030_0403#0,"""Quién sabe... qué habilidades ocultas... duermen dentro de sus armas."""
ssn_013030_0404#0,"""... Espero que desbloquees más... y lo descubras."""
