Title#0,"""ประชาชนของ Central City"""
Summary#0,"""คำสารภาพของ Aina ทำให้ความมุ่งมั่นในการต่อสู้ของ <%me> และคนอื่นๆ กลับคืนมาอีกครั้ง<br><br>Bruder ได้แนะนำพวกเขาให้รู้จักกับผู้อยู่อาศัยใน Central City ซึ่งมีหลายสิ่งหลายอย่างที่จะสอนพวกเขา"""
Objective311#0,"""คุยกับสมาชิก ARKS ที่กำหนด"""
Objective321#0,"""เดินทางไปยัง Class Counter"""
Objective331#0,"""ตั้งค่า Sub Class"""
Objective341#0,"""รับเควสต์รองจาก Slona"""
Objective342#0,"""รับเควสต์รองจาก Kartevie"""
Objective343#0,"""รับเควสต์รองจาก Ran"""
Objective351#0,"""ผ่านเควสต์รองจาก Slona"""
Objective352#0,"""ผ่านเควสต์รองจาก Kartevie"""
Objective353#0,"""ผ่านเควสต์รองจาก Ran"""
text110#0,"""รับเควสต์รอง 【Collection: Tames Meat】"""
text120#0,"""ผ่านเควสต์รอง 【Collection: Tames Meat】"""
