Title#0,"""คำแนะนำของ Oranje"""
Summary#0,"""ต่อไป Operator Oranje จะสอนวิธีใช้ Food Stand<br><br>ก่อนที่คุณจะสร้าง Quick Food ได้ คุณต้องมีเนื้อจาก Tames ที่อาศัยอยู่รอบๆ Central City"""
text0101#0,"""คุยกับ Oranje"""
text0102#0,"""รวบรวมเนื้อ Tames"""
text0103#0,"""กำจัด Dian เพื่อรับ Sharp Meat"""
text0104#0,"""กำจัด Sunny เพื่อรับ Nourishing Meat"""
text0105#0,"""กำจัด Patt เพื่อรับ Refreshing Meat"""
text0106#0,"""กำจัด Moobel เพื่อรับ Healthy Meat"""
text0107#0,"""สร้าง Quick Food ที่ Food Stand"""
Objective311#0,"""※※※※※"""
Objective321#0,"""※※※※※"""
Objective331#0,"""※※※※※"""
Objective341#0,"""※※※※※"""
