name_7026#0,"""ฟาเรีย (Pharia)"""
msn_027610_0010#0,"""คุณนั่นเอง"""
msn_027610_0020#0,"""มาทำอะไรที่นี่งั้นเหรอ?"""
msn_027610_0030#0,"""กำลังค้นหาอะไรอยู่หรือเปล่า?"""
msn_027610_0035#0,"""ไว้เจอกันนะ!"""
msn_027610_0040#0,"""เปล่าหรอก แค่มาเดินเล่นน่ะ"""
msn_027610_0050#0,"""อิลม่า (Ilma) บอกว่าเวลาพักผ่อนแบบนี้ก็สำคัญเหมือนกัน"""
msn_027610_0060#0,"""นี่อาจจะเป็นครั้งแรกเลยนะ<br>ที่ได้คุยกันสองคนแบบนี้"""
msn_027610_0070#0,"""ถ้าไม่รังเกียจ ช่วยฟังอะไรหน่อยได้ไหม?"""
msn_027610_0071#0,"""ที่ผ่านมา พวกเราทำตามคำสั่ง<br>ของเซเฟตโต้ (Zephetto) มาโดยตลอด"""
msn_027610_0072#0,"""ในฐานะส่วนหนึ่งของรีเซอร์เจนท์อาร์คส (Resurgent ARKS)..."""
msn_027610_0080#0,"""วันที่มาน่อนละทิ้งภารกิจ<br>แล้วมาที่ลูเซล (Leciel) ก็เหมือนกัน"""
msn_027610_0090#0,"""ฉันคิดว่ามันจะส่งผลกระทบต่อการทดลอง<br>เลยหาวิธีที่ทำให้มาน่อนสามารถทำภารกิจต่อไปได้"""
msn_027610_0100#0,"""ตอนนั้นฉันตัดสินใจว่าลำพังพลังของตัวเองคงแก้ปัญหาไม่ได้<br>ก็เลยไปขอความช่วยเหลือจากพวกคุณ"""
msn_027610_0110#0,"""ตอนนั้นฉันไม่ได้คิดเลยว่า<br>การกระทำนั้นจะนำไปสู่จุดจบแบบไหน"""
msn_027610_0120#0,"""ก่อนหน้านี้ ความคิดของพวกเราถูกตีกรอบไว้<br>ไม่มีคลื่นอารมณ์ความรู้สึก เป็นอะไรที่เรียบง่ายมาก"""
msn_027610_0130#0,"""……แต่ว่า ผู้คนที่ได้พบเจอที่นี่<br>แตกต่างจากพวกเราอย่างสิ้นเชิง"""
msn_027610_0140#0,"""คนที่นี่มักจะคิดอะไรหลายๆ อย่างอยู่เสมอ<br>และคอยแลกเปลี่ยนความคิดเห็นซึ่งกันและกัน"""
msn_027610_0150#0,"""แม้บางครั้งจะมีความขัดแย้ง<br>แต่ก็ยังคงพูดคุยกันเพื่อพยายามแก้ปัญหา"""
msn_027610_0160#0,"""ความคิดนั้นวาดเส้นที่ซับซ้อน<br>จนหลายครั้งก็ไม่รู้เลยว่าจะมุ่งไปทางไหน"""
msn_027610_0170#0,"""ระหว่างที่เฝ้ามองมาน่อนอยู่ที่ลูเซล (Leciel)<br>ฉันสัมผัสได้ว่าเธอกำลังเปลี่ยนไป"""
msn_027610_0180#0,"""แต่ก็ไม่เคยเข้าใจเลยว่า<br>การเปลี่ยนแปลงนั้นหมายถึงอะไร……"""
msn_027610_0190#0,"""พอตัวเองได้มาอยู่ที่นี่<br>ในที่สุดก็เริ่มเข้าใจความหมายนั้นแล้วล่ะ"""
msn_027610_0200#0,"""แม้จะเป็นเหตุการณ์เดียวกัน<br>แต่กลับมีความรู้สึกมากมายนับไม่ถ้วนเกิดขึ้น……"""
msn_027610_0210#0,"""ต่อให้เผชิญประสบการณ์เดียวกัน<br>แต่วิธีที่แต่ละคนรู้สึกนั้นแตกต่างกันออกไป"""
msn_027610_0220#0,"""จากจุดนั้น คำพูดและการกระทำใหม่ๆ ก็ถือกำเนิดขึ้น<br>และเชื่อมโยงไปสู่คำพูดและการกระทำอื่นๆ ต่อไป"""
msn_027610_0230#0,"""พวกเราได้เรียนรู้ว่า<br>นั่นแหละคือสิ่งที่เรียกว่า 'การใช้ชีวิต'"""
msn_027610_0240#0,"""ชาวลูเซลัน (Lecielan) คนอื่นนอกจากฟาเรีย (Pharia) ก็ด้วยเหรอ?"""
msn_027610_0250#0,"""ดีใจจังที่ได้คุยกับฟาเรีย (Pharia) แบบนี้"""
msn_027610_0260#0,"""ถึงแต่ละคนจะต่างกันก็เถอะ……"""
msn_027610_0270#0,"""ดูเหมือนว่าการได้แลกเปลี่ยนกับพวกคุณ<br>จะทำให้เกิดการเปลี่ยนแปลงขึ้นนะ"""
msn_027610_0280#0,"""ฉันเองก็รู้สึกดีใจเหมือนกัน<br>ที่ได้คุยกับคุณแบบนี้"""
msn_027610_0290#0,"""ความรู้สึกเนี่ย<br>เป็นสิ่งที่น่ามหัศจรรย์จังเลยนะ……"""
msn_027610_0300#0,"""คนที่มีอิทธิพลต่อพวกเรามากที่สุดในตอนนี้<br>ก็คืออิลม่า (Ilma)"""
msn_027610_0310#0,"""อิลม่า (Ilma) เป็นคนที่แปลกดีนะ"""
msn_027610_0320#0,"""ความรู้สึกที่มีต่อการวิจัยหรือการทดลอง<br>เป็นอะไรที่เรียบง่ายมาก"""
