name_7001#0,"""มาน่อน (Manon)"""
name_7013#0,"""เมรี่ (Meri)"""
msn_027660_0010#0,"""ผักของภูมิภาคเอลิโอ (Aelio)<br>ที่เจอเมื่อวันก่อนน่ะ……"""
msn_027660_0020#0,"""ถ้ามันมีเส้นใยเยอะ<br>ลองเอาไปต้มดูก่อนดีไหม?"""
msn_027660_0030#0,"""ถ้าทำแบบนั้น<br>ก็น่าจะนุ่มขึ้น……ใช่ไหม?"""
msn_027660_0040#0,"""อื้อ ใช่แล้วล่ะ"""
msn_027660_0050#0,"""นอกจากนั้น ถ้าใส่น้ำมันนิดหน่อย<br>แล้วเอาไปผัดกับเนื้อก็น่าจะดีนะ"""
msn_027660_0060#0,"""กำลังสำรวจอะไรกันอยู่เหรอ?"""
msn_027660_0070#0,"""ตั้งแต่เมื่อกี้ คุยเรื่องอะไรกันอยู่เนี่ย?"""
msn_027660_0075#0,"""ไว้เจอกันนะ!"""
msn_027660_0080#0,"""เปล่าหรอก ไม่ใช่แบบนั้น"""
msn_027660_0090#0,"""กำลังช่วยกันออกไอเดีย<br>เรื่องทำอาหารน่ะ"""
msn_027660_0100#0,"""เราสองคนกำลังช่วยกันออกไอเดีย<br>เรื่องทำอาหารน่ะ"""
msn_027660_0110#0,"""ค-คือว่า……<br>ฉันลองเริ่มทำอาหารดูน่ะ"""
msn_027660_0120#0,"""ช่วงนี้ฉันกำลังคิดว่าจะลอง<br>ทำอะไรใหม่ๆ ดูหลายๆ อย่างน่ะ"""
msn_027660_0130#0,"""แถมการจัดหาวัตถุดิบ<br>ยังถือเป็นการสำรวจสภาพแวดล้อมไปในตัวด้วย"""
msn_027660_0140#0,"""เพราะงั้น มันก็เลยเป็นผลดีหลายอย่างเลยล่ะ"""
msn_027660_0150#0,"""แต่ถึงอย่างนั้น ก็เป็นคู่ที่แปลกดีนะ"""
msn_027660_0160#0,"""ไปสนิทกันขนาดนี้ตั้งแต่เมื่อไหร่เหรอ?"""
msn_027660_0170#0,"""นั่นสินะ เมื่อก่อนแทบจะไม่มีโอกาส<br>ได้คุยกันสองคนเลยด้วยซ้ำ……"""
msn_027660_0180#0,"""แต่หลังจากที่ไอน่าชวนมา<br>เธอก็แวะมาหาบ่อยขึ้นเลยล่ะ"""
msn_027660_0190#0,"""ตอนแรก เธอเอาวัตถุดิบแปลกๆ มาให้ฉันน่ะ"""
msn_027660_0200#0,"""กะว่าจะให้ช่วยบอก<br>ว่ามันเอาไปใช้ทำอะไรได้บ้าง"""
msn_027660_0210#0,"""แต่ไม่นึกเลยว่า<br>จะกลายเป็นแบบนี้ไปได้……"""
msn_027660_0220#0,"""ช่วงนี้มีการแลกเปลี่ยนกับภูมิภาคอื่นมากขึ้น<br>ทำให้หาวัตถุดิบได้หลากหลายขึ้นเลยล่ะ"""
msn_027660_0230#0,"""พอมีวัตถุดิบมากขึ้น<br>สูตรอาหารก็เพิ่มขึ้นด้วยเหมือนกันนะ"""
msn_027660_0240#0,"""พอเล่าเรื่องพวกนั้นให้มาน่อนฟัง<br>เธอก็บอกว่าอยากลองทำดูบ้างน่ะ"""
msn_027660_0250#0,"""เอ๊ะ? ต-ตอนแรก<br>เมรี่ (Meri) เป็นคนบอกให้ลองทำดูไม่ใช่เหรอ……"""
msn_027660_0260#0,"""เอาเถอะๆ<br>ไม่เห็นเป็นไรเลย"""
msn_027660_0270#0,"""ฉันดีใจนะ<br>ที่มีเพื่อนทำอาหารเพิ่มขึ้นน่ะ"""
msn_027660_0280#0,"""……โธ่"""
msn_027660_0290#0,"""จะว่าไป<br>มาน่อนก็ตั้งใจเรียนรู้จริงๆ นะ"""
msn_027660_0300#0,"""เมื่อก่อน<br>ฉันไม่ค่อยสนใจเรื่องทำอาหารเท่าไหร่"""
msn_027660_0310#0,"""คิดแค่ว่าอาหาร<br>กินแค่เพื่อให้ได้รับพลังงานที่จำเป็นก็พอแล้ว"""
msn_027660_0320#0,"""แต่ช่วงนี้<br>ฉันเริ่มเข้าใจความสุขในการกินแล้วล่ะ"""
msn_027660_0330#0,"""รวมถึงความสุขในการทำด้วย……"""
msn_027660_0340#0,"""ฝีมือทำอาหารของมาน่อนน่ะ<br>พัฒนาขึ้นเยอะเลยนะ"""
msn_027660_0350#0,"""ถึงตอนแรกจะทำทุกอย่างไหม้เกรียมไปหมดก็เถอะ"""
msn_027660_0360#0,"""คราวหน้าก็ลองมากินดูสิ"""
msn_027660_0370#0,"""ม-มันยังเร็วไปหน่อยนะ……"""
msn_027660_0380#0,"""อย่างนั้นเหรอ?"""
msn_027660_0390#0,"""เมื่อวันก่อน เธอยังบอกเองเลยไม่ใช่เหรอ<br>ว่าทำออกมาได้น่าพอใจน่ะ?"""
msn_027660_0400#0,"""ค-คือว่า……ไว้เก่งกว่านี้อีกนิดก่อน……ละกันนะ"""
msn_027660_0410#0,"""จะตั้งตารอเลยล่ะ"""
msn_027660_0420#0,"""ไอน่าก็มาด้วยกันสิ"""
msn_027660_0430#0,"""อื้อ คาดหวังได้เลย"""
msn_027660_0440#0,"""อื้อ<br>แน่นอนสิ"""
msn_027660_0450#0,"""ฉันจะฝึกทำอาหารแบบที่ไม่เคยได้กินที่ไหนมาก่อน<br>มาให้ชิมให้ได้เลย"""
