msc_027170_0010#0,"""...อ้า กลับมาแล้วสินะ"""
msc_027170_0020#0,"""แต่ดูเหมือนว่า... จะไม่ได้มากับเซเฟตโต้ (Zephetto) สินะ"""
msc_027170_0030#0,"""ช่วยเล่าให้ฟังหน่อยได้ไหมว่าเกิดอะไรขึ้น?"""
msc_027170_0040#0,"""พอดีตอนที่จิตสำนึกของเซเฟตโต้ (Zephetto) กำลังถูก<br>ถ่ายโอนเข้าไปใน... เอ่อ ร่างโคลนที่ 4 (4th clone) น่ะ..."""
msc_027170_0050#0,"""จู่ๆ ก็มีบางอย่างเข้ามาแย่งชิงการควบคุมร่างกายไปน่ะ"""
msc_027170_0060#0,"""...มีแต่เรื่องเหนือจินตนาการเกิดขึ้นไม่หยุดหย่อนเหมือนเคยเลยนะ..."""
msc_027170_0070#0,"""...แล้วเกิดอะไรขึ้นต่อล่ะ...?"""
msc_027170_0080#0,"""...โธ่ ถ้าเซเฟตโต้ (Zephetto) อยู่ที่นี่เพื่ออธิบายเรื่องทั้งหมดก็คงจะง่ายกว่านี้เยอะเลย..."""
msc_027170_0090#0,"""ไม่สามารถพูดคุยได้นานนักหรอกนะ แต่ว่า..."""
msc_027170_0100#0,"""เอ๊ะ?"""
msc_027170_0110#0,"""อย่างน้อยก็จะบอกให้รู้ว่า 'บางอย่าง' ที่ว่านั่นคืออะไรล่ะนะ"""
msc_027170_0120#0,"""...ฟาเรีย (Pharia)?"""
msc_027170_0130#0,"""เดี๋ยวนะ เซเฟตโต้ (Zephetto)?"""
msc_027170_0140#0,"""...ฉันเอง"""
msc_027170_0150#0,"""เซเฟตโต้ (Zephetto) งั้นเหรอ?"""
msc_027170_0160#0,"""ใช่แล้ว"""
msc_027170_0170#0,"""มันชื่อ Vael น่ะ"""
msc_027170_0180#0,"""Starless ระดับ Dark Falz คือตัวตนที่สามารถควบคุมพวก Starless ได้เป็นจำนวนมาก"""
msc_027170_0190#0,"""ในหมู่พวกมัน Vael คือผู้ที่สามารถควบคุมได้แม้กระทั่ง Starless ระดับ Dark Falz ด้วยซ้ำ"""
msc_027170_0200#0,"""อาจจะเรียกได้ว่ามันคือ 'ราชา' ของพวก Starless เลยก็ว่าได้ล่ะนะ"""
msc_027170_0210#0,"""อีกไม่นาน จิตใจก็จะถูกมันกลืนกินไปจนหมดสิ้นแล้วล่ะ"""
msc_027170_0220#0,"""ก็เลยถ่ายโอนจิตสำนึกบางส่วน<br>ไปให้ฟาเรีย (Pharia) ก่อนที่เรื่องนั้นจะเกิดขึ้นน่ะ"""
msc_027170_0230#0,"""ในขณะที่จิตใจกำลังหลอมรวมเข้ากับของ Vael<br>ก็เลยได้เข้าใจถึงความหมายของการเป็น Starless น่ะ"""
msc_027170_0240#0,"""พวกมันหิวโหยอยู่ตลอดเวลา"""
msc_027170_0250#0,"""ร่อนเร่ไปในจักรวาลอันไร้ที่สิ้นสุดอย่างต่อเนื่องเพื่อตามหา Photon"""
msc_027170_0260#0,"""เมื่อ 500 ปีก่อน ในระหว่างที่กำลังหิวโหยอย่างหนัก พวกมัน<br>จับร่องรอยพลังงาน Photon ที่เบาบางที่สุดได้ และปรากฏตัวขึ้นต่อหน้าพวกเรา"""
msc_027170_0270#0,"""แล้วพวกมันก็กลืนกินพวกเราจนหมดสิ้น"""
msc_027170_0280#0,"""และนั่นคือตอนที่พวกมันตระหนักได้"""
msc_027170_0290#0,"""พวกมันตระหนักว่าสิ่งที่พวกมัน<br>กำลังกินเข้าไปนั้นมี Photon อยู่น้อยเกินไปน่ะ"""
msc_027170_0300#0,"""ในขณะเดียวกัน พวกมันก็ตระหนักถึงความอุดมสมบูรณ์<br>ของ Photon ที่เหล่า ARKS ในอดีตครอบครองอยู่ด้วยล่ะ"""
msc_027170_0310#0,"""นั่นคือตอนที่ Vael ตัดสินใจที่จะ... เฝ้ารอ"""
msc_027170_0320#0,"""มันคิดว่าสิ่งที่ต้องทำก็แค่รอให้เหยื่อ<br>แข็งแกร่งขึ้น เพื่อจะได้อิ่มหนำสำราญกับบุฟเฟต์ Photon ยังไงล่ะ"""
msc_027170_0330#0,"""จากนั้น Vael ก็ออกคำสั่งกับพวก Starless ทั้งหมด"""
msc_027170_0340#0,"""เมื่อรับคำสั่งนั้น พวก Starless ก็หยุดการโจมตีในทันที<br>ถอยกลับไปยังอีกมิติหนึ่ง และหายไปจากอวกาศในเขตของพวกเรา"""
msc_027170_0350#0,"""ในทางกลับกัน Vael นั้น..."""
msc_027170_0360#0,"""แฝงตัวหลับใหลอยู่ภายในร่างกายของฉัน ซึ่งกำลังอยู่ท่ามกลางการต่อสู้น่ะ"""
msc_027170_0370#0,"""กลายเป็นว่าความสามารถในการถ่ายโอนจิตสำนึกของฉัน<br>ไปยังสิ่งมีชีวิตอื่น คือพลังของมันมาตั้งแต่แรกแล้วล่ะ"""
msc_027170_0380#0,"""โดยที่ไม่รู้ตัวเลยสักนิด ฉันได้รับมอบหมายภารกิจ<br>'การฟื้นฟู ARKS (The ARKS Revival)' และเดินหน้าทำการทดลองต่อไปน่ะ"""
msc_027170_0390#0,"""การฟื้นฟู ARKS (The ARKS Revival) เพื่อต่อกรกับพวก Starless..."""
msc_027170_0400#0,"""การคาดการณ์ที่ว่าพวก Starless จะกลับมาในอีก 500 ปี..."""
msc_027170_0410#0,"""มาถึงจุดนี้ ก็ไม่แน่ใจเหมือนกันว่าความคิดพวกนั้น<br>เป็นผลมาจากอิทธิพลของ Vael มากน้อยแค่ไหนน่ะ"""
msc_027170_0420#0,"""แต่เชื่อว่าความรู้สึกเป็นปรปักษ์ต่อพวก<br>Starless นั้น คือสิ่งที่เกิดจากจิตใจของฉันเองล่ะนะ"""
msc_027170_0430#0,"""แต่ผลที่ตามมาก็คือ เกรงว่าตลอดเวลาที่ผ่านมา<br>ตัวเองจะตกเป็นแค่หมากตัวหนึ่งในกำมือของ Vael ไปซะแล้วล่ะ"""
msc_027170_0440#0,"""แล้ว Vael กำลังจะทำอะไรต่อไปล่ะ?"""
