name_7013#0,"""อิลม่า (Ilma)"""
name_7026#0,"""ฟาเรีย (Pharia)"""
msn_027650_0010#0,"""แบบนี้เป็นไงบ้าง?"""
msn_027650_0020#0,"""ดูจากตัวเลขแล้วก็ไม่เลวเลยนะคะ……"""
msn_027650_0030#0,"""เรื่องความทนทาน ถ้ายังไม่ได้ทดสอบดูก็คงบอกอะไรไม่ได้……"""
msn_027650_0040#0,"""ถ้างั้นเอาตัวอย่างกลับไป<br>ตรวจดูให้ละเอียดกันเถอะ"""
msn_027650_0050#0,"""กำลังวิจัยอะไรอยู่อีกแล้วเหรอ?"""
msn_027650_0060#0,"""ดูมีค่าควรแก่การวิจัยนะเนี่ย"""
msn_027650_0065#0,"""ไว้เจอกันนะ!"""
msn_027650_0070#0,"""เหวอ ตกใจหมดเลย!"""
msn_027650_0080#0,"""มาอยู่ข้างหลังตั้งแต่เมื่อไหร่เนี่ย……"""
msn_027650_0090#0,"""อื้อ ใช่แล้วล่ะ……"""
msn_027650_0100#0,"""เดี๋ยว เอ๊ะ?"""
msn_027650_0110#0,"""……อะไรกัน มาตั้งแต่เมื่อไหร่เนี่ย"""
msn_027650_0120#0,"""สัมผัสไม่ได้เลยค่ะว่ามา……"""
msn_027650_0130#0,"""อ-เอ่อ……<br>ตอนนี้กำลังคิดเรื่องปรับปรุง M.A.R.S. อยู่น่ะ"""
msn_027650_0140#0,"""ก็เลยมาหาดูว่ามีวัสดุอะไรที่น่าจะใช้ได้บ้าง"""
msn_027650_0150#0,"""ปรับปรุงตรงไหนงั้นเหรอ?"""
msn_027650_0160#0,"""ตอนนี้มันก็แข็งแกร่งพออยู่แล้วไม่ใช่เหรอ?"""
msn_027650_0170#0,"""ฉันคิดว่า M.A.R.S.<br>เป็นอาวุธที่ทรงพลังนะ"""
msn_027650_0180#0,"""ก็แหม สามารถรับมือ<br>กับวาเอล (Vael) ตัวนั้นได้เลยนี่นา"""
msn_027650_0190#0,"""แต่ในด้านการใช้งานจริง<br>ยังคงมีปัญหาที่ต้องแก้อีกเยอะเลยล่ะ"""
msn_027650_0200#0,"""ปัญหาใหญ่ที่สุดก็คือ<br>มันไม่ใช่อาวุธที่ใครๆ ก็สามารถใช้งานได้น่ะสิคะ"""
msn_027650_0210#0,"""M.A.R.S. กินพลังงานเก่งสุดๆ ไปเลยน่ะสิ"""
msn_027650_0220#0,"""แค่ช่วงเวลาสั้นๆ ก็ผลาญโฟตอน (Photon)<br>ของผู้ใช้ไปมหาศาลแล้ว"""
msn_027650_0230#0,"""พูดง่ายๆ ก็คือ ถ้าไม่ใช่ระดับเธอ<br>ก็คงใช้งานได้อย่างจริงจังไม่ได้หรอก"""
msn_027650_0240#0,"""ต่อให้มีปริมาณโฟตอน (Photon) ในร่างกายระดับคุณ<br>ก็ยังใช้งานต่อเนื่องเป็นเวลานานไม่ได้เลย……"""
msn_027650_0250#0,"""เพื่อที่จะแก้ปัญหาพวกนั้น<br>เราก็เลยออกเดินทางไปตามที่ต่างๆ เพื่อหาไอเดียยังไงล่ะ"""
msn_027650_0260#0,"""ดูท่าทางจะลำบากน่าดู"""
msn_027650_0270#0,"""มีเบาะแสอะไรบ้างไหม?"""
msn_027650_0280#0,"""ลำบาก……แต่ก็<br>คุ้มค่าที่จะทำนะ"""
msn_027650_0290#0,"""ก-ก็……<br>เรื่อยๆ……ล่ะมั้ง"""
msn_027650_0300#0,"""แต่ถ้าเรื่องนี้สำเร็จไปด้วยดี<br>ไอเดียอื่นๆ ก็อาจจะเป็นจริงขึ้นมาได้ด้วย"""
msn_027650_0310#0,"""แน่นอนว่าไม่ใช่แค่อาวุธใหม่<br>แต่รวมถึงเรื่องอื่นๆ ด้วยนะ"""
msn_027650_0320#0,"""ฉันน่ะ ในท้ายที่สุดก็อยากจะใช้ความรู้และเทคโนโลยีของตัวเอง<br>ให้เป็นประโยชน์ในด้านอื่นที่ไม่ใช่การต่อสู้ด้วย"""
msn_027650_0330#0,"""อย่างการทำให้ชีวิตสะดวกสบายขึ้น……"""
msn_027650_0340#0,"""หรือสร้างอุปกรณ์ของเล่นสนุกๆ ยังไงล่ะ"""
msn_027650_0350#0,"""อันดับแรก ต้องสร้างอุปกรณ์สำหรับการต่อสู้ก่อนค่ะ"""
msn_027650_0360#0,"""……โธ่ ฟาเรีย (Pharia) เนี่ย<br>ชอบเป็นแบบนี้อยู่เรื่อยเลย……"""
msn_027650_0370#0,"""ขอโทษด้วยค่ะ……"""
msn_027650_0380#0,"""อา ไม่ได้โกรธหรอกนะ<br>แค่อยากจะคุยเรื่องความฝันดูบ้างน่ะ"""
msn_027650_0390#0,"""ความฝัน……"""
msn_027650_0400#0,"""สำหรับนักวิจัยแล้ว<br>ถือเป็นแนวคิดที่สำคัญที่สุดเลยสินะคะ"""
msn_027650_0410#0,"""ลงมือทำโดยมีความฝัน<br>และรับผิดชอบต่อความฝันที่ทำให้เป็นจริง……"""
msn_027650_0420#0,"""ใช่ๆ"""
msn_027650_0430#0,"""เพื่อทำให้ความฝันนั้นเป็นจริง<br>อาจจะต้องขอยืมพลังของเธออีกครั้งนะ"""
msn_027650_0440#0,"""ไว้ใจได้เลย"""
msn_027650_0450#0,"""เมื่อไหร่ก็บอกได้เสมอ"""
msn_027650_0460#0,"""อื้อ ฝากด้วยล่ะ"""
