msc_027040_0010#0,"""เอาล่ะ มาถึงแล้ว!"""
msc_027040_0020#0,"""เดี๋ยวนะ ฟาเรีย (Pharia) ไปไหนล่ะ?"""
msc_027040_0030#0,"""เธออยู่ตรงนั้นไง"""
msc_027040_0040#0,"""ฟาเรีย (Pharia)!"""
msc_027040_0050#0,"""...ดูชุดนั่นสิ! ไปเอามาจากไหนเนี่ย?"""
msc_027040_0060#0,"""ครอว์ฟอร์ด (Crawford) เตรียมไว้ให้น่ะ เผื่อว่าจำเป็นต้องเข้าต่อสู้ล่ะ"""
msc_027040_0070#0,"""ครอว์ฟอร์ด (Crawford) เตรียมให้เหรอ? เจ๋งไปเลย!"""
msc_027040_0080#0,"""ดูเข้ากันดีนะ"""
msc_027040_0090#0,"""ดูเท่มากเลยล่ะ"""
msc_027040_0100#0,"""ขอบคุณมากนะ"""
msc_027040_0110#0,"""ค-คิดแบบนั้นเหรอ?"""
msc_027040_0120#0,"""ว่าแต่... เอิ่ม..."""
msc_027040_0130#0,"""ตอนที่ถูกเซเฟตโต้ (Zephetto) ควบคุมแบบนั้น มันรู้สึกยังไงเหรอ?"""
msc_027040_0140#0,"""แทนที่จะรู้สึกว่า 'ถูกควบคุม'<br>มันรู้สึกเหมือนจิตใจถูกแยกออกจากร่างกายมากกว่าล่ะ"""
msc_027040_0150#0,"""เหมือนกับกำลังมองดู 'ตัวฉัน' อีกคนนึงอยู่อะไรแบบนั้นน่ะ..."""
msc_027040_0160#0,"""มีอะไรเหรอ มาน่อน?"""
msc_027040_0170#0,"""แต่ทำไมต้องเป็นฟาเรีย (Pharia) ด้วยล่ะ?"""
msc_027040_0180#0,"""เอ๊ะ?"""
msc_027040_0190#0,"""ทำไมเซเฟตโต้ (Zephetto) ถึงเลือกฟาเรีย (Pharia) ให้เป็นคนส่งสารด้วยล่ะ?"""
msc_027040_0200#0,"""นั่นก็เพราะว่า ฉันคือตัวสำรองของเซเฟตโต้ (Zephetto) ยังไงล่ะ"""
msc_027040_0210#0,"""ตัวสำรองของเขางั้นเหรอ? แต่ว่าเธอคือ..."""
msc_027040_0220#0,"""ใช่แล้วล่ะ เป็นตัวสำรองของเธอด้วย"""
msc_027040_0230#0,"""แต่ดูเหมือนว่าจะเป็นตัวสำรองของเซเฟตโต้ (Zephetto) ด้วยเหมือนกันล่ะ"""
msc_027040_0240#0,"""ทำไมถึงมั่นใจแบบนั้นล่ะ?"""
msc_027040_0250#0,"""ตอนที่จิตสำนึกของเซเฟตโต้ (Zephetto) ไหลเข้ามา<br>ข้อมูลที่ว่าฉันคือตัวสำรองของเขาก็เข้ามาด้วยเหมือนกันน่ะ"""
msc_027040_0260#0,"""ก็เหมือนเป็นมาตรการป้องกันไว้ก่อน เผื่อว่ามีอะไรเกิดขึ้นกับเขาสินะ..."""
msc_027040_0270#0,"""ฟาเรีย (Pharia) ไม่เป็นอะไรแน่นะ?"""
msc_027040_0280#0,"""ฟาเรีย (Pharia) ถ้ามีอะไรผิดปกติ รีบบอกพวกเราทันทีเลยนะ"""
msc_027040_0290#0,"""อ-อื้ม... ไม่เป็นไรหรอก"""
msc_027040_0300#0,"""ข-เข้าใจแล้วล่ะ..."""
msc_027040_0310#0,"""เอิ่ม... คือว่า..."""
msc_027040_0320#0,"""ขอบคุณมากเลยนะ... ที่เป็นห่วงน่ะ"""
