name_7013#0,"""Ilma"""
name_7004#0,"""Crawford"""
msn_027640_0010#0,"""ヴァエルとの戦いのために、<br>チューンしたM.A.R.S.……。"""
msn_027640_0020#0,"""無事に稼働してくれて、<br>本当によかった。"""
msn_027640_0030#0,"""だいぶ、無茶な調整をしていたからね。<br>正直、僕も少し不安だったよ。"""
msn_027640_0035#0,"""またね！"""
msn_027640_0040#0,"""M.A.R.S.はイルマが作ったの？"""
msn_027640_0050#0,"""ふつうに使えたけど……。"""
msn_027640_0060#0,"""いや、アイディアは僕だけどね。"""
msn_027640_0070#0,"""ホントに？<br>それはよかった。"""
msn_027640_0080#0,"""M.A.R.S.は、<br>みんなの力を合わせて開発したんだ。"""
msn_027640_0090#0,"""ハルファの研究者はもちろん、<br>ファリアたちルシエランの力も借りてね。"""
msn_027640_0100#0,"""その中心にいたのは、イルマだよ。"""
msn_027640_0110#0,"""へへ、集団作業って得意じゃないけど、<br>まあ、頑張ったつもり。"""
msn_027640_0120#0,"""最初に思いついたのは、<br>セントラルキャノンを小型化すること。"""
msn_027640_0130#0,"""強力な兵器だけど、<br>いろいろと制約が多いからね。"""
msn_027640_0140#0,"""車両に積載できるくらい、<br>小さくできないかって考えたんだ。"""
msn_027640_0150#0,"""小型化することで出力が下がっても、<br>数があれば補えるってね。"""
msn_027640_0160#0,"""その話をクロフォードとしているうちに、<br>興味をもつ研究者が加わり始めて……。"""
msn_027640_0170#0,"""ファリアも話にのってくれて、<br>ルシエランたちも協力してくれることになったんだ。"""
msn_027640_0180#0,"""いろいろとアイディアを出し合ううちに、<br>気づいたらぜんぜん違うかたちになっていたね。"""
msn_027640_0190#0,"""うんうん。<br>……やっぱり、ファリアの一言が大きかった。"""
msn_027640_0200#0,"""アークスが携行できるようにしようとか、<br>多用途型にできないかって彼女が言い出したんだよ。"""
msn_027640_0210#0,"""砲を車両に載せることしか考えてなかったから、<br>あれは衝撃的だったね。"""
msn_027640_0220#0,"""……ま、まあ、そういうわけで、<br>M.A.R.S.は、みんなの知恵の集大成なんだ。"""
msn_027640_0230#0,"""それと……、<br>最後はゼフェットのアイディアだね。"""
msn_027640_0240#0,"""ゼフェットが？"""
msn_027640_0250#0,"""そんな話を前もしていた。"""
msn_027640_0260#0,"""どうしても、はまらなかった最後のピースを、<br>ゼフェットがはめてくれたんだ。"""
msn_027640_0270#0,"""ファリアの精神に潜んでいるあいだに、<br>こっちのやっていたことを見ていたらしい。"""
msn_027640_0280#0,"""それで、ファリアの“記憶”のなかに、<br>アイディアを残していた……。"""
msn_027640_0290#0,"""……ふと、思うんだよね。"""
msn_027640_0300#0,"""もしも、ゼフェットが最初から、<br>僕たちの仲間だったらって。"""
msn_027640_0310#0,"""そうしたら、<br>もっと違う世界になっていたかもってね。"""
msn_027640_0320#0,"""……でもまあ、僕たちが生まれた因果を考えると、<br>それは絶対に成立しない……。"""
msn_027640_0330#0,"""運命は、さまざまな必然と偶然が、<br>折り重なってできあがるものだからね。"""
msn_027640_0340#0,"""なるようにしかならない。"""
msn_027640_0350#0,"""僕も、ゼフェットとは、<br>いろいろな話をしたかった。"""
msn_027640_0360#0,"""僕たちの最大の敵であったと同時に、<br>尊敬できる相手でもあった。"""
msn_027640_0370#0,"""この感情は、やっぱり複雑だね……。"""
msn_027640_0380#0,"""最後には、僕たちに手を貸してくれて、<br>結果としてヴァエルに勝つことができた。"""
msn_027640_0390#0,"""だから、僕はこのM.A.R.S.を通じて、<br>ゼフェットとわかりあえたと思うことにしてる。"""
msn_027640_0400#0,"""……ってことで、いいんじゃないかな？"""
msn_027640_0410#0,"""……うん、そうだね。"""
