msc_027110_0010#0,"""...สถานที่นี้ก็ดูคุ้นตาเหมือนกันนะ"""
msc_027110_0020#0,"""นี่มัน... อะไรน่ะ?"""
msc_027110_0030#0,"""...อุปกรณ์สำหรับผลิต ARKS รุ่นที่สาม (Third Generation) น่ะ"""
msc_027110_0040#0,"""เดี๋ยวนะ งั้นนี่ก็คือสถานที่ที่ Meteorn ถือกำเนิดขึ้นมางั้นเหรอ...?"""
msc_027110_0050#0,"""ถูกต้องแล้วล่ะ"""
msc_027110_0060#0,"""มาคุยเรื่องของ ARKS กันดีกว่า ตัวตนที่ยกย่องให้เป็นอุดมคติน่ะ"""
msc_027110_0070#0,"""ARKS คือเหล่านักรบที่แข็งแกร่งที่สุด ซึ่งมีชื่อเสียง<br>จากชัยชนะในมหาสงครามเมื่อ 1,000 ปีก่อนล่ะ"""
msc_027110_0080#0,"""ความพยายามของพวกเขาได้นำมาซึ่งจุดจบของสงครามทั้งหมดน่ะ"""
msc_027110_0090#0,"""และด้วยเหตุนั้น พวกเขาจึงได้นำมาซึ่งยุคแห่งความสงบสุขล่ะ"""
msc_027110_0100#0,"""ในขณะเดียวกัน พละกำลังอันแข็งแกร่งของเหล่า ARKS<br>ก็ไม่เป็นที่ต้องการอีกต่อไป พวกเขาจึงค่อยๆ เลือนหายไปตามกาลเวลา..."""
msc_027110_0110#0,"""จนกระทั่งพวก Starless ปรากฏตัวขึ้นนั่นแหละ<br>พวกเขาถึงได้รับความสนใจจากทุกคนอีกครั้งน่ะ"""
msc_027110_0120#0,"""พิจารณาแล้วว่า เพื่อที่จะต่อกรกับภัยคุกคาม<br>จากภายนอกนี้ จำเป็นต้องพึ่งพาความแข็งแกร่งของ ARKS ในอดีตล่ะ"""
msc_027110_0130#0,"""แต่ทว่า โชคร้ายที่ข้อมูลส่วนใหญ่เกี่ยวกับ<br>พวกเขาได้สูญหายไปในประวัติศาสตร์แล้วล่ะ..."""
msc_027110_0140#0,"""สิ่งที่สามารถกู้คืนมาได้ก็มีเพียงแค่เศษเสี้ยวของข้อมูลการต่อสู้<br>และข้อมูลทางพันธุกรรมของ ARKS บางส่วนเท่านั้น..."""
msc_027110_0150#0,"""หนึ่งในนั้นคือข้อมูลทางพันธุกรรมที่ถูกนำมาจาก<br>ARKS คนหนึ่งที่ถูกจับให้อยู่ในโหมดจำศีล (Cold Sleep) น่ะ"""
msc_027110_0160#0,"""โหมดจำศีล (Cold Sleep) งั้นเหรอ?"""
msc_027110_0170#0,"""งั้นก็หมายความว่า ค้นพบอดีตสมาชิก ARKS<br>ที่ถูกทำให้หลับใหลอย่างงั้นเหรอ?"""
