name_7015#0,"""เมรี่ (Meri)"""
name_7010#0,"""นาเดเรห์ (Nadereh)"""
msn_027630_0010#0,"""เฮ้!"""
msn_027630_0020#0,"""ไง ทั้งสองคนก็มาด้วยเหรอ"""
msn_027630_0030#0,"""แปลกจังเลยนะ ที่เห็นทั้งสองคนมาอยู่ที่ภูมิภาคเอลิโอ (Aelio)"""
msn_027630_0035#0,"""ไว้เจอกันนะ!"""
msn_027630_0040#0,"""ช่วงนี้ก็แวะมาบ่อยๆ อยู่นะ"""
msn_027630_0050#0,"""แถมยังได้เจอกับนาเดเรห์ (Nadereh) บ่อยด้วย"""
msn_027630_0060#0,"""อา"""
msn_027630_0070#0,"""ก่อนหน้านี้ การต้องออกไปนอกภูมิภาคควาริส (Kvaris)<br>มันให้ความรู้สึกต่อต้านยังไงก็ไม่รู้น่ะ"""
msn_027630_0080#0,"""แต่พอไอน่าบอกว่า<br>โลกภายนอกก็สนุกเหมือนกันนะ"""
msn_027630_0090#0,"""จากนั้นเธอก็พาฉัน<br>ไปเที่ยวหลายๆ ที่เลยล่ะ"""
msn_027630_0100#0,"""ฉันเองก็เหมือนกัน"""
msn_027630_0110#0,"""ภูมิภาคเรเทม (Retem) เองก็สงบสุขกว่าแต่ก่อน<br>ทำให้โอกาสที่ฉันต้องออกไปยืนอยู่แนวหน้าลดลงไปมาก"""
msn_027630_0120#0,"""พวกฮาดิ (Hadi) เองก็บอกว่า<br>ตอนที่ไม่อยู่ก็ปล่อยให้เป็นหน้าที่พวกเขาได้เลย"""
msn_027630_0130#0,"""และในระหว่างนั้นเอง<br>ฉันก็เริ่มได้พูดคุยแลกเปลี่ยนกับเมรี่ (Meri)"""
msn_027630_0140#0,"""ไอน่าทำเรื่องแบบนั้นด้วยแฮะ"""
msn_027630_0150#0,"""ทั้งสองคน ไปสนิทกันตั้งแต่เมื่อไหร่เนี่ย……"""
msn_027630_0160#0,"""คงต้องให้เธอ<br>คอยดูแลอยู่ตลอดเลยสินะ"""
msn_027630_0170#0,"""ตัวฉันเองยังแปลกใจเลยล่ะ"""
msn_027630_0180#0,"""ไอน่าบอกว่า<br>มีคนที่อยากแนะนำให้รู้จักน่ะ"""
msn_027630_0190#0,"""แล้วจู่ๆ นาเดเรห์ (Nadereh) ก็โผล่มา<br>ทำเอาฉันตกใจหมดเลย"""
msn_027630_0200#0,"""ตอนแรกก็เกร็งๆ อยู่บ้าง<br>แต่ตอนนี้สนิทกันแล้วล่ะ"""
msn_027630_0210#0,"""อา<br>แถมคุยกันถูกคอหลายเรื่องด้วยนะ"""
msn_027630_0220#0,"""เรื่องที่เมรี่ (Meri) เล่าล้วนแต่น่าสนใจทั้งนั้น"""
