msc_027160_0010#0,"""หึ... ไม่ทำให้ผิดหวังเลยจริงๆ..."""
msc_027160_0020#0,"""...ด้วยความแข็งแกร่งนี้ ก็น่าจะสามารถเอาชนะ 'เจ้านั่น' ได้..."""
msc_027160_0030#0,"""เจ้านั่น... คือใครกัน?"""
msc_027160_0040#0,"""Starless ระดับ Dark Falz ที่แข็งแกร่งที่สุดที่ปรากฏตัวขึ้นเมื่อ 500 ปีก่อนไงล่ะ"""
msc_027160_0050#0,"""ตัวตนที่ทำลายล้างระบบดาวไปมากที่สุด<br>นำมาซึ่งการเสียสละของมนุษยชาติมากที่สุดล่ะ"""
msc_027160_0060#0,"""ของแบบนั้น... มีอยู่จริงด้วยเหรอ?"""
msc_027160_0070#0,"""กองกำลังต่อต้าน Starless ของฉันถูกเจ้านั่นกวาดล้างจนหมดสิ้นล่ะ"""
msc_027160_0080#0,"""โดนการโจมตีอันทรงพลังเข้าไปและพ่ายแพ้ในการต่อสู้น่ะ"""
msc_027160_0090#0,"""...และก็หมดสติไปเป็นเวลานานเลยล่ะ"""
msc_027160_0100#0,"""พอตื่นขึ้นมาอีกครั้ง ก็ไม่มีอะไรเหลืออยู่อีกแล้วล่ะ"""
msc_027160_0110#0,"""ดาวเคราะห์ที่ถือกำเนิดและเติบโตขึ้นมา ครอบครัว และสหายร่วมรบมากมาย..."""
msc_027160_0120#0,"""และแม้แต่พวก Starless เอง... ก็หายไปหมดแล้ว"""
msc_027160_0130#0,"""ในตอนนั้น ทำได้แค่ยืนนิ่งงันอยู่ตรงนั้น ซึมซับภาพ<br>สุสานสีดำเกรียมที่เกิดจากเศษแก้วและเหล็กหลอมละลาย ซึ่งเคยเป็นโลกของฉัน"""
msc_027160_0140#0,"""และตอนนี้ หลังจากผ่านเวลามาเนิ่นนาน ในที่สุดก็จะสามารถล้างแค้นได้สักที"""
msc_027160_0150#0,"""...และเมื่อทำแบบนั้นได้ แผนการของ Resurgent ARKS ก็จะสำเร็จลุล่วงอย่างแท้จริง"""
msc_027160_0155#0,"""...เอาล่ะ"""
msc_027160_0160#0,"""ฟาเรีย (Pharia) ทุกอย่างเสร็จสมบูรณ์แล้วล่ะ"""
msc_027160_0170#0,"""ค่ะ"""
msc_027160_0180#0,"""เอาล่ะ งั้นก็..."""
msc_027160_0190#0,"""อะไรกัน?!"""
msc_027160_0200#0,"""...น-นี่มัน..."""
msc_027160_0210#0,"""...Vael งั้นเหรอ?!"""
msc_027160_0220#0,"""เข้าใจล่ะ... เป็นแบบนี้นี่เอง..."""
msc_027160_0230#0,"""เกิดอะไรขึ้นน่ะ?!"""
msc_027160_0240#0,"""ถอยไป ไอน่า!"""
msc_027160_0251#0,"""อั้ก..."""
msc_027160_0253#0,"""อ้าก..."""
msc_027160_0255#0,"""อึก..."""
msc_027160_0257#0,"""ฮ่า!"""
msc_027160_0260#0,"""ก-เกิดอะไรขึ้นน่ะ?!"""
msc_027160_0270#0,"""เซเฟตโต้ (Zephetto)!"""
msc_027160_0275#0,"""..."""
msc_027160_0280#0,"""เกิดอะไรขึ้น?! พูดอะไรบ้างสิ!"""
msc_027160_0290#0,"""..."""
msc_027160_0300#0,"""ไอน่า ระวังตัวด้วย!"""
msc_027160_0310#0,"""ไอน่า ถอยไป!"""
msc_027160_0320#0,"""รู้แล้วล่ะน่า!"""
msc_027160_0330#0,"""แต่... แต่ว่า!"""
msc_027160_0335#0,"""อ...อืม..."""
msc_027160_0340#0,"""ฟาเรีย (Pharia)!"""
msc_027160_0341#0,"""อึก...!"""
msc_027160_0343#0,"""อึก... อ้า... อื้ม..."""
msc_027160_0345#0,"""อ้าก... อ้า... อึก..."""
msc_027160_0350#0,"""...ปลอดภัยไหม?!"""
msc_027160_0360#0,"""ค่ะ..."""
msc_027160_0365#0,"""กรร... อั้ก..."""
msc_027160_0370#0,"""...หนี... หนีไป..."""
msc_027160_0380#0,"""ฉันจะใช้ร่างกายนี้... พาร่างของ Vael... เข้าไปในมิติเฟส (Phase Space) เอง..."""
msc_027160_0390#0,"""ระหว่างนี้... พวกเธอ... ต้องหนีไป..."""
msc_027160_0400#0,"""...เร็วเข้า!"""
msc_027160_0410#0,"""แล้วนายล่ะ เซเฟตโต้ (Zephetto)?"""
msc_027160_0420#0,"""ยังมีเรื่องอยากจะถามอีกตั้งเยอะเลยนะ!"""
msc_027160_0430#0,"""แค่... รีบไปได้แล้ว..."""
msc_027160_0433#0,"""อึก... อ้าก..."""
msc_027160_0435#0,"""กรร..อ้าก...อึก..."""
msc_027160_0437#0,"""อึก..."""
msc_027160_0440#0,"""อ้ากกก!!!"""
msc_027160_0450#0,"""...เซเฟตโต้ (Zephetto)..."""
msc_027160_0460#0,"""...ไม่ได้ถามอะไรเขาเลยแฮะ..."""
msc_027160_0470#0,"""...เอาเรื่องที่เกิดขึ้นที่นี่ไปเล่าให้ทุกคนที่ฮาลฟา (Halpha) ฟังกันเถอะ"""
name01#0,"""???"""
