msq_027061_0010#0,"""...ศัตรูงั้นเหรอ"""
msq_027061_0020#0,"""พวก Formers..."""
msq_027061_0030#0,"""ศัตรูพวกนี้มีต้นแบบมาจากสิ่งมีชีวิตที่เป็นปรปักษ์ซึ่งเหล่า ARKS ในอดีตเคยต่อสู้ด้วยน่ะ"""
msq_027061_0040#0,"""ส่วนใหญ่ดูเหมือนว่าจะมีพื้นฐานมาจากสายพันธุ์ที่มีอยู่จริง แต่ถูกดัดแปลงพันธุกรรมล่ะนะ"""
msq_027061_0050#0,"""...ข้อมูลจากเซเฟตโต้ (Zephetto) อีกแล้วเหรอ?"""
msq_027061_0060#0,"""ใช่แล้วล่ะ"""
msq_027061_0070#0,"""พวกเราทำการวิจัยแค่เรื่องของ ARKS กับ DOLLS เท่านั้นน่ะ"""
msq_027061_0080#0,"""แทบจะไม่รู้อะไรเลยเมื่อเป็นเรื่องของศัตรูประเภทอื่นล่ะนะ"""
name010#0,"""ไอน่า"""
name020#0,"""ฟาเรีย (Pharia)"""
name030#0,"""มาน่อน"""
