name_7016#0,"""เกลน (Glen)"""
name_7022#0,"""คานุย (Kanui)"""
msn_027620_0010#0,"""มาแล้วเหรอ"""
msn_027620_0020#0,"""กำลังปรึกษากันอยู่เหรอ?"""
msn_027620_0030#0,"""มาขัดจังหวะหรือเปล่า?"""
msn_027620_0035#0,"""ไว้เจอกันนะ!"""
msn_027620_0040#0,"""อา ก็ประมาณนั้นแหละ"""
msn_027620_0050#0,"""ไม่หรอก ไม่เป็นไร"""
msn_027620_0060#0,"""กำลังตรวจสอบกำลังรบในปัจจุบัน<br>ของภูมิภาคสเตีย (Stia) อยู่น่ะ"""
msn_027620_0070#0,"""เป็นเวลานานแล้วที่จำนวนคนของสเตีย (Stia)<br>ไม่มีการเปลี่ยนแปลงอะไรมากนัก……"""
msn_027620_0080#0,"""แต่ช่วงนี้มีคนจากภูมิภาคอื่นย้ายเข้ามามากขึ้น<br>ก็เลยจำเป็นต้องทบทวนโครงสร้างกันใหม่"""
msn_027620_0090#0,"""หลักๆ ก็เป็นกองกำลังเสริมจากภูมิภาคเอลิโอ (Aelio)"""
msn_027620_0100#0,"""ต้องขอบคุณบรูเดอร์ (Bruder) กับไอน่าล่ะนะ"""
msn_027620_0110#0,"""การฝึกทหารใหม่คืบหน้าไปมาก<br>ทำให้ตอนนี้เรามีกำลังรบที่ค่อนข้างเหลือเฟือ"""
msn_027620_0120#0,"""ทั้งที่เมื่อก่อนหน้านี้<br>ไม่ว่าที่ไหนก็ตึงมือกันไปหมดแท้ๆ"""
msn_027620_0130#0,"""นอกจากนี้ ถึงจะแค่ส่วนน้อย<br>แต่ก็มีคนที่มาจากภูมิภาคเรเทม (Retem) ด้วย"""
msn_027620_0140#0,"""จากภูมิภาคเรเทม (Retem) งั้นเหรอ?"""
msn_027620_0150#0,"""ภูมิภาคเรเทม (Retem) เองก็มีกำลังเหลือเหมือนกันเหรอ?"""
msn_027620_0160#0,"""เป้าหมายหลักคือการเรียนรู้กลยุทธ์<br>และทักษะการต่อสู้ซึ่งกันและกันน่ะ"""
msn_027620_0170#0,"""ทางนั้นเองก็มีการส่งกองกำลังเสริม<br>จากภูมิภาคเอลิโอ (Aelio) ไปเหมือนกัน"""
msn_027620_0180#0,"""ผลก็คือ<br>ทำให้สามารถแบ่งคนมาทางนี้ได้ล่ะนะ"""
msn_027620_0190#0,"""ช่วงนี้เนี่ย<br>มีการเปลี่ยนแปลงครั้งใหญ่เยอะเลยนะ"""
msn_027620_0200#0,"""การแลกเปลี่ยนทั้งผู้คนและสิ่งของ<br>เพิ่มขึ้นอย่างที่ไม่เคยมีมาก่อน"""
msn_027620_0210#0,"""การแบ่งแยกยิบย่อยว่าใครสังกัดอยู่ภูมิภาคไหน<br>อาจจะกลายเป็นแค่เรื่องเล็กน้อยไปเลยก็ได้"""
msn_027620_0220#0,"""ตอนแรกก็พูดว่าเป็นกำลังรบของสเตีย (Stia)<br>แต่นี่คงถึงเวลาต้องมองภาพรวมในสเกลที่ใหญ่ขึ้นแล้วล่ะ"""
msn_027620_0230#0,"""อันที่จริง ในการต่อสู้กับพวกสตาร์เลส (Starless) ก่อนหน้านี้<br>ก็มีการใช้กำลังทหารข้ามพรมแดนภูมิภาคกันแล้ว"""
msn_027620_0240#0,"""ถึงในระดับกลยุทธ์<br>จะยังมีจุดที่ต้องปรับปรุงอยู่บ้างก็เถอะ……"""
msn_027620_0250#0,"""แต่ฉันคิดว่าการประสานงานระหว่างภูมิภาค<br>ก็ทำออกมาได้ดีเลยล่ะ"""
msn_027620_0260#0,"""จากประสบการณ์ในครั้งนั้น<br>พวกเราเลยกำลังทบทวนโครงสร้างหน่วยกันใหม่อยู่"""
msn_027620_0261#0,"""ถึงอย่างนั้นก็เถอะ เพราะต้องไปประชุมเรื่องนี้<br>ฉันเลยต้องออกไปนอกสเตีย (Stia) บ่อยขึ้น"""
msn_027620_0262#0,"""เวลาที่ต้องนั่งจมอยู่กับโต๊ะทำงานก็เพิ่มขึ้น<br>ทำให้เวลาที่จะได้จับอาวุธน้อยลงไปด้วย"""
msn_027620_0263#0,"""งานเอกสารเนี่ย<br>ยังไงก็ไม่เข้ากับนิสัยฉันเอาซะเลย"""
msn_027620_0264#0,"""พูดแบบนั้นอีกแล้ว……"""
msn_027620_0270#0,"""ตามหลักแล้ว สถานการณ์ที่หัวหน้าหน่วยต้องออกไปสู้อยู่แนวหน้าตลอด<br>มันเป็นเรื่องที่ผิดปกตินะคะ"""
msn_027620_0280#0,"""ช่วยพูดอะไรกับเขาสักหน่อยเถอะค่ะ"""
msn_027620_0290#0,"""ในฐานะผู้นำ งานเอกสารก็สำคัญนะ"""
msn_027620_0300#0,"""การกวัดแกว่งอาวุธคือหน้าที่ของอาร์คส (ARKS)"""
msn_027620_0310#0,"""ถูกต้องที่สุดค่ะ"""
msn_027620_0320#0,"""อึก……"""
msn_027620_0330#0,"""……นี่แม้แต่เธอก็ยังพูดแบบนี้ด้วยเหรอ……"""
msn_027620_0340#0,"""เข้าใจแก่นแท้ของอาร์คส (ARKS) ได้ดีเลยนี่"""
msn_027620_0350#0,"""……ให้ตายสิ"""
msn_027620_0360#0,"""ไม่ว่ายังไงก็ตาม<br>สถานการณ์ที่มองไม่เห็นอนาคตในวันพรุ่งนี้มันก็เปลี่ยนไปมากแล้ว"""
msn_027620_0370#0,"""เราต้องรักษาความราบรื่นในตอนนี้เอาไว้<br>ไม่สิ ต้องผลักดันให้มันก้าวหน้าไปอีกต่างหาก"""
msn_027620_0380#0,"""และเพื่อการนั้น<br>ก็ยังคงต้องการพลังของนายอยู่นะ"""
msn_027620_0390#0,"""คงต้องขอปรึกษาอะไรอีกหลายเรื่องเลยล่ะ"""
msn_027620_0400#0,"""แน่นอนว่า ถ้ามีเรื่องอยากปรึกษาก็ยินดีรับฟังเสมอ"""
