msq_027081_0010#0,"""เดี๋ยวนะ เพลงนี้..."""
msq_027081_0020#0,"""ผู้คนของเธอเรียกมันว่า บทเพลงไว้อาลัย (Song of Mourning) ใช่ไหมล่ะ?"""
msq_027081_0030#0,"""แต่ทำไมล่ะ...?"""
msq_027081_0040#0,"""ตอนที่อาศัยอยู่ที่เลเซียล (Leciel) เพลงนี้จะถูกเปิดทุกวันในเวลาเดียวกันเลยล่ะ"""
msq_027081_0050#0,"""...ไม่เคยรู้เลยว่าทำไม"""
msq_027081_0060#0,"""แต่คิดว่ามันคงเป็นเหตุผลเดียวกับที่เพลงนี้ถูกสืบทอดกันมาในรีเทม (Retem) ล่ะนะ"""
msq_027081_0070#0,"""...เอ๊ะ?"""
msq_027081_0080#0,"""เซเฟตโต้ (Zephetto) บอกว่ามีชีวิตนับไม่ถ้วนต้องสูญเสียไปในระหว่างการต่อสู้กับพวก Starless ครั้งก่อนน่ะ"""
msq_027081_0090#0,"""บางทีเพลงนี้อาจจะถูกแต่งขึ้นเพื่อไว้อาลัยให้กับพวกเขาตั้งแต่แรกล่ะมั้ง..."""
msq_027081_0100#0,"""และเพื่อเป็นการระลึกถึงผู้ที่จากไป มันก็เลยถูกเปิดไปทั่วทั้งเลเซียล (Leciel) ด้วยเหมือนกันล่ะ"""
msq_027081_0110#0,"""ฟาเรีย (Pharia) เธอได้รับข้อมูลอะไรเกี่ยวกับเพลงนี้บ้างไหม?"""
msq_027081_0120#0,"""...ไม่เลย ไม่มีเลยล่ะ"""
msq_027081_0130#0,"""แต่ว่า..."""
msq_027081_0140#0,"""คิดเหมือนกับมาน่อนเลยล่ะ"""
msq_027081_0150#0,"""ทั้งที่นี่และในเลเซียล (Leciel) เพลงนี้ยังคงถูกเปิดอยู่เรื่อยมา..."""
msq_027081_0160#0,"""งั้นเพลงนี้ก็มีความหมายกับเซเฟตโต้ (Zephetto) มากเหมือนกันสินะ..."""
name010#0,"""ไอน่า (Aina)"""
name020#0,"""มาน่อน (Manon)"""
name030#0,"""ฟาเรีย (Pharia)"""
