Title#0,"""В проливной дождь 2020"""
Explanation#0,"""Приходят сообщения о появлении свирепых врагов<br>искажённой области планеты Набериус.<br>Также наблюдаются аномальные изменения<br>в погоде.<br>Немедленно отправляйтесь на место,<br>и расследуйте причину, а также одолейте<br>как можно больше врагов.<br>―――――――――――――――――――<br>Очки квеста одни на всю область.<br>С окончанием времени, квест закончится."""
NpcComMsg1#0,"""Скоро начнётся перенос.<br>Целью данного квеста является<br>расследования насилия со стороны<br>врагов данной области."""
NpcComMsg2#0,"""Приходит множество сообщений<br>о появлении врагов, которые<br>ожесточились с внезапным<br>изменением погоды."""
NpcComMsg3#0,"""Хотя текущая погода дождливая,<br>прогнозируется, что погодные<br>изменения будут происходить<br>во всей области."""
SimpleExplanation#0,"""Одолейте как можно больше врагов!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a5#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
Area0S#0,"""Искажённая область: Лес, 1-я область"""
Area0L#0,"""Набериус - Искажённая область: Лес, 1-я область"""
Area1S#0,"""Искажённая область: Лес, 2-я область"""
Area1L#0,"""Набериус - Искажённая область: Лес, 2-я область"""
