name_7007#0,"""Liu Lin"""
ssn_014100_0001#0,"""Coocons ¿Estás atacando correctamente?"""
ssn_014100_0002#0,"""Si te va bien, tengo una petición."""
ssn_014100_0101#0,"""Trainia, cuando atravieses el Coocons o la torre, por favor envíame los datos"""
ssn_014100_0102#0,"""Cuando atravieses todos los Coocons y torres de Aerio, te reconoceré como Maestro de Entrenadores"""
ssn_014100_0103#0,"""Estoy deseando trabajar con usted."""
ssn_014100_0201#0,"""¿Necesita preparar?  Hasta la próxima."""
ssn_014100_0301#0,"""Misión, lo estás haciendo bien."""
ssn_014100_0302#0,"""Por favor, continúe, señor."""
ssn_014100_0401#0,"""Nex Aerio es un fuerte enemigo"""
ssn_014100_0402#0,"""No lo encuentres."""
