name_7007#0,"""Liu Lin"""
ssq_014110_0010#0,"""Buenas noches, señor. Ya has pisado a todos los traidores de Aerio"""
ssq_014110_0020#0,"""Tenemos buenos datos. Será útil para el entrenamiento de ARKS."""
ssq_014110_0030#0,"""Aun así, Trainia es un lugar con muchos misterios"""
ssq_014110_0040#0,"""No sabemos quién lo construyó, cuándo se construyó, ni para qué se construyó."""
ssq_014110_0050#0,"""Lo usamos como instalación de entrenamiento, pero ni siquiera sé si está bien"""
ssq_014110_0060#0,"""Lo era. Usted es un Maestro Entrenador certificado. Enhorabuena."""
ssq_014110_0070#0,"""Por favor, sigan con el buen trabajo"""
ssq_014110_0101#0,"""y ya has pisado a todos los traidores."""
ssq_014110_0102#0,"""Mmmm. no puede ser subestimado"""
ssq_014110_0103#0,"""Aun así, Trainia es un lugar misterioso"""
ssq_014110_0104#0,"""No sabemos quién lo construyó, cuándo se construyó, ni para qué se construyó."""
ssq_014110_0105#0,"""Lo usamos como instalación de entrenamiento, pero no estoy seguro de que esté bien"""
ssq_014110_0106#0,"""Lo era. Usted es un Maestro Entrenador certificado. Enhorabuena"""
ssq_014110_0107#0,"""Por favor, siga con su trabajo"""
