LightRain_IncidentName#0,"""Пережить атаку лучами!"""
LightRain_TrialBeginMsg#0,"""Переживите атаку лучами!"""
LightRain_TrialAbstract#0,"""До окончания времени не попадайтесь<br>под лучи более чем $(0) раз(а)"""
FaceBeam_IncidentName#0,"""Преодолеть бесчисленные тепловые атаки!"""
FaceBeam_TrialBeginMsg#0,"""Преодолейте бесчисленные тепловые атаки!"""
FaceBeam_TrialAbstract#0,"""Не попадайте под тепловые атаки<br>более чем $(0) раз(а)"""
AttackWave_IncidentName#0,"""Избежать гигантских энергетических волн!"""
AttackWave_TrialBeginMsg#0,"""Избегайте гигантские энергетические волны!"""
AttackWave_TrialAbstract#0,"""Не попадайте под энергетические волны<br>более чем $(0) раз(а)"""
LightRain_NpcComOnBegin#0,"""Фиксирую энергию исходящую<br>из груди Магацу.<br>Будьте осторожны<br>с лучевыми атаками с неба."""
LightRain_NpcComOnBegin2#0,"""Рекомендую сосредоточиться<br>на избегании атак.<br>Не попадайте под лучевые атаки<br>более чем $(0) раз(а)."""
LightRain_NpcComOnSuccess#0,"""Подтверждаю прекращение<br>атаки лучами.<br>Всем участникам:<br>Продолжайте бой против Магацу."""
LightRain_NpcComOnFailure#0,"""/face4 Подтверждаю прекращение<br>атаки лучами.<br>Полученный урон огромен.<br>Всем участникам: Восстановите<br>строй и продолжайте сражаться."""
FaceBeam_NpcComOnBegin#0,"""Фиксирую энергию, исходящую<br>от бесчисленных лиц Магацу.<br>Остерегайтесь атак бесчисленных<br>источников тепла."""
FaceBeam_NpcComOnBegin2#0,"""Траектория тепловых атак<br>непредсказума.<br>Рекомендую сосредоточиться на<br>избегании атак.<br>Не попадайте под тепловые атаки<br>более чем $(0) раз(а)."""
FaceBeam_NpcComOnSuccess#0,"""Фиксирую останоку источника<br>тепла.<br>Полученный урон незначителен.<br>Всем участникам: Продолжайте<br>вести бой с Магацу."""
FaceBeam_NpcComOnFailure#0,"""/face4 Фиксирую останоку источника<br>тепла.<br>Полученный урон огромен.<br>Всем участникам: Восстановите<br>строй и продолжайте сражаться."""
AttackWave_NpcComOnBegin#0,"""Фиксирую высокоэнергетические<br>сигналы от ладоней Магацу.<br>Рекомендуется отправиться<br>на ближайшую стену."""
AttackWave_NpcComOnBegin2#0,"""Предполагается масштабная атака<br>на окрестности.<br>Всем участникам:<br>Будьте крайне осторожны."""
AttackWave_NpcComOnSuccess#0,"""Подтверждаю исчезновение<br>энергетических сигналов.<br>Полученный урон незначителен.<br>Всем участникам: Продолжайте<br>вести бой с Магацу."""
AttackWave_NpcComOnFailure#0,"""/face4 Подтверждаю исчезновение<br>высокоэнергетических сигналов.<br>Полученный урон огромен.<br>Всем участникам: Восстановите<br>строй и продолжайте сражаться."""
LightRain_NpcComOnBegin#1,"""Фиксирую энергию исходящую<br>из груди Магацу.<br>Будьте осторожны<br>с лучевыми атаками с неба."""
LightRain_NpcComOnBegin2#1,"""Рекомендую сосредоточиться на<br>избегании атак.<br>Не попадайте под лучевые атаки<br>более чем $(0) раз(а)."""
LightRain_NpcComOnSuccess#1,"""Подтверждаю прекращение<br>атаки лучами.<br>Полученный урон незначителен.<br>Всем участникам: Продолжайте<br>вести бой с Магацу."""
LightRain_NpcComOnFailure#1,"""/face4 Подтверждаю прекращение<br>атаки лучами.<br>Полученный урон огромен.<br>Всем участникам: Восстановите<br>строй и продолжайте сражаться."""
FaceBeam_NpcComOnBegin#1,"""Фиксирую энергию, исходящую<br>от бесчисленных лиц Магацу.<br>Остерегайтесь атак бесчисленных<br>источников тепла."""
FaceBeam_NpcComOnBegin2#1,"""Траектория тепловых атак<br>непредсказума.<br>Рекомендую сосредоточиться на<br>избегании атак.<br>Не попадайте под энергетические атаки<br>более чем $(0) раз(а)."""
FaceBeam_NpcComOnSuccess#1,"""Фиксирую останоку источника<br>тепла.<br>Полученный урон незначителен.<br>Всем участникам: Продолжайте<br>вести бой с Магацу."""
FaceBeam_NpcComOnFailure#1,"""/face4 Фиксирую останоку источника<br>тепла.<br>Полученный урон огромен.<br>Всем участникам: Восстановите<br>строй и продолжайте сражаться."""
AttackWave_NpcComOnBegin#1,"""Фиксирую высокоэнергетические<br>сигналы от ладоней Магацу.<br>Рекомендуется отправиться<br>на ближайшую стену."""
AttackWave_NpcComOnBegin2#1,"""Предполагается масштабная атака<br>на окрестности.<br>Всем участникам:<br>Будьте крайне осторожны."""
AttackWave_NpcComOnSuccess#1,"""Подтверждаю исчезновение<br>энергетических сигналов.<br>Полученный урон незначителен.<br>Всем участникам: Продолжайте<br>вести бой с Магацу."""
